日期,國家,城市,項目,次數,min,max,median,variance
2021-05-07,TW,Taitung City,pm25,40,9.0,46.0,21.0,909.22
2021-07-14,TW,Taitung City,pm25,8,21.0,30.0,21.0,105.54
2021-09-27,TW,Taitung City,pm25,34,21.0,55.0,34.0,1270.31
2021-01-02,TW,Taitung City,pm25,47,9.0,53.0,34.0,1034.39
2021-01-05,TW,Taitung City,pm25,46,9.0,42.0,21.0,709.53
2021-03-08,TW,Taitung City,pm25,45,9.0,42.0,25.0,1181.59
2021-04-30,TW,Taitung City,pm25,30,9.0,42.0,21.0,890.30
2021-05-29,TW,Taitung City,pm25,48,21.0,63.0,42.0,894.89
2021-06-01,TW,Taitung City,pm25,40,9.0,42.0,17.0,657.28
2021-07-28,TW,Taitung City,pm25,40,21.0,57.0,30.0,708.45
2021-02-03,TW,Taitung City,pm25,48,38.0,76.0,59.0,1084.68
2021-02-09,TW,Taitung City,pm25,46,9.0,57.0,30.0,1225.78
2021-02-28,TW,Taitung City,pm25,46,9.0,46.0,21.0,627.56
2021-05-13,TW,Taitung City,pm25,44,9.0,46.0,25.0,931.69
2021-07-07,TW,Taitung City,pm25,10,21.0,42.0,25.0,405.00
2021-08-06,TW,Taitung City,pm25,35,21.0,59.0,30.0,1040.64
2021-02-27,TW,Taitung City,pm25,46,9.0,46.0,21.0,784.77
2021-04-13,TW,Taitung City,pm25,48,9.0,93.0,25.0,1809.77
2021-05-01,TW,Taitung City,pm25,43,9.0,61.0,30.0,2224.45
2021-01-07,TW,Taitung City,pm25,39,9.0,34.0,17.0,412.48
2021-05-11,TW,Taitung City,pm25,45,9.0,50.0,30.0,1183.31
2021-07-26,TW,Taitung City,pm25,36,21.0,46.0,30.0,541.93
2021-05-02,TW,Taitung City,pm25,47,9.0,63.0,34.0,1720.83
2021-05-16,TW,Taitung City,pm25,36,9.0,42.0,21.0,756.28
2021-09-01,TW,Taitung City,pm25,13,21.0,38.0,25.0,401.41
2021-09-16,TW,Taitung City,pm25,29,21.0,50.0,30.0,689.21
2021-02-01,TW,Taitung City,pm25,47,13.0,57.0,34.0,910.27
2021-03-09,TW,Taitung City,pm25,45,9.0,55.0,30.0,1871.04
2021-04-21,TW,Taitung City,pm25,47,30.0,70.0,50.0,972.14
2021-06-09,TW,Taitung City,pm25,34,9.0,38.0,17.0,699.46
2021-08-10,TW,Taitung City,pm25,27,21.0,57.0,34.0,1115.58
2021-01-11,TW,Taitung City,pm25,47,9.0,46.0,30.0,702.31
2021-02-26,TW,Taitung City,pm25,45,9.0,57.0,25.0,1566.55
2021-05-08,TW,Taitung City,pm25,46,9.0,46.0,21.0,931.19
2021-08-22,TW,Taitung City,pm25,21,21.0,42.0,30.0,473.29
2021-08-28,TW,Taitung City,pm25,12,21.0,34.0,25.0,166.36
2021-01-13,TW,Taitung City,pm25,46,30.0,82.0,59.0,1410.92
2021-02-24,TW,Taitung City,pm25,44,9.0,59.0,30.0,969.99
2021-04-10,TW,Taitung City,pm25,37,9.0,38.0,21.0,563.68
2021-06-06,TW,Taitung City,pm25,41,9.0,38.0,13.0,466.38
2021-09-12,TW,Taitung City,pm25,11,21.0,42.0,30.0,506.55
2021-09-29,TW,Taitung City,pm25,45,21.0,65.0,50.0,1136.77
2021-06-22,TW,Taitung City,pm25,48,13.0,59.0,25.0,1492.61
2021-01-20,TW,Taitung City,pm25,39,9.0,34.0,17.0,434.94
2021-02-04,TW,Taitung City,pm25,48,17.0,65.0,53.0,1416.70
2021-05-26,TW,Taitung City,pm25,44,9.0,42.0,17.0,686.70
2021-06-03,TW,Taitung City,pm25,40,9.0,34.0,17.0,438.36
2021-07-23,TW,Taitung City,pm25,36,21.0,50.0,34.0,619.68
2021-09-20,TW,Taitung City,pm25,15,21.0,46.0,25.0,770.95
2021-03-06,TW,Taitung City,pm25,48,21.0,59.0,38.0,771.42
2021-03-10,TW,Taitung City,pm25,35,9.0,42.0,21.0,804.59
2021-05-21,TW,Taitung City,pm25,48,17.0,55.0,34.0,771.48
2021-05-05,TW,Taitung City,pm25,45,9.0,155.0,34.0,13196.90
2021-08-18,TW,Taitung City,pm25,6,21.0,34.0,25.0,285.67
2021-02-06,TW,Taitung City,pm25,46,9.0,57.0,34.0,1104.71
2021-02-15,TW,Taitung City,pm25,48,13.0,63.0,34.0,1773.60
2021-04-26,TW,Taitung City,pm25,44,9.0,57.0,30.0,1168.47
2021-03-12,TW,Taitung City,pm25,47,21.0,63.0,50.0,1511.84
2021-07-29,TW,Taitung City,pm25,43,21.0,55.0,34.0,1041.12
2021-08-05,TW,Taitung City,pm25,25,21.0,59.0,30.0,1826.27
2021-08-07,TW,Taitung City,pm25,26,21.0,65.0,25.0,1532.55
2020-12-29,TW,Taitung City,pm25,44,9.0,65.0,34.0,1952.07
2021-01-31,TW,Taitung City,pm25,46,9.0,50.0,30.0,908.87
