id,個案研判日,個案公布日,縣市,區域,新增確診人數,累計確診人數,七天移動平均新增確診
39,2021-10-16,2021-10-17,台北市,中山區,0,290,0.00
287,2021-10-15,2021-10-16,台北市,中山區,0,290,0.00
535,2021-10-14,2021-10-15,台北市,中山區,0,290,0.00
783,2021-10-13,2021-10-14,台北市,中山區,0,290,0.00
1031,2021-10-12,2021-10-13,台北市,中山區,0,290,0.00
1279,2021-10-11,2021-10-12,台北市,中山區,0,290,0.00
1527,2021-10-10,2021-10-11,台北市,中山區,0,290,0.00
1775,2021-10-09,2021-10-10,台北市,中山區,0,290,0.00
2023,2021-10-08,2021-10-09,台北市,中山區,0,290,0.00
2271,2021-10-07,2021-10-08,台北市,中山區,0,290,0.00
2519,2021-10-06,2021-10-07,台北市,中山區,0,290,0.00
2767,2021-10-05,2021-10-06,台北市,中山區,0,290,0.00
3015,2021-10-04,2021-10-05,台北市,中山區,0,290,0.00
3263,2021-10-03,2021-10-04,台北市,中山區,0,290,0.00
3511,2021-10-02,2021-10-03,台北市,中山區,0,290,0.00
3759,2021-10-01,2021-10-02,台北市,中山區,0,290,0.00
4007,2021-09-30,2021-10-01,台北市,中山區,0,290,0.00
4255,2021-09-29,2021-09-30,台北市,中山區,0,290,0.00
4503,2021-09-28,2021-09-29,台北市,中山區,0,290,0.00
4751,2021-09-27,2021-09-28,台北市,中山區,0,290,0.00
4999,2021-09-26,2021-09-27,台北市,中山區,0,290,0.00
5247,2021-09-25,2021-09-26,台北市,中山區,0,290,0.00
5495,2021-09-24,2021-09-25,台北市,中山區,0,290,0.00
5743,2021-09-23,2021-09-24,台北市,中山區,0,290,0.00
5991,2021-09-22,2021-09-23,台北市,中山區,0,290,0.00
6239,2021-09-21,2021-09-22,台北市,中山區,0,290,0.00
6487,2021-09-20,2021-09-21,台北市,中山區,0,290,0.00
6735,2021-09-19,2021-09-20,台北市,中山區,0,290,0.00
6983,2021-09-18,2021-09-19,台北市,中山區,0,290,0.00
7231,2021-09-17,2021-09-18,台北市,中山區,0,290,0.00
7479,2021-09-16,2021-09-17,台北市,中山區,0,290,0.00
7727,2021-09-15,2021-09-16,台北市,中山區,0,290,0.10
7975,2021-09-14,2021-09-15,台北市,中山區,0,290,0.10
8223,2021-09-13,2021-09-14,台北市,中山區,0,290,0.10
8471,2021-09-12,2021-09-13,台北市,中山區,0,290,0.10
8719,2021-09-11,2021-09-12,台北市,中山區,0,290,0.10
8967,2021-09-10,2021-09-11,台北市,中山區,0,290,0.10
9215,2021-09-09,2021-09-10,台北市,中山區,1,290,0.10
9463,2021-09-08,2021-09-09,台北市,中山區,0,289,0.00
9711,2021-09-07,2021-09-08,台北市,中山區,0,289,0.10
9959,2021-09-06,2021-09-07,台北市,中山區,0,289,0.10
10207,2021-09-05,2021-09-06,台北市,中山區,0,289,0.10
10455,2021-09-04,2021-09-05,台北市,中山區,0,289,0.10
10703,2021-09-03,2021-09-04,台北市,中山區,0,289,0.10
10951,2021-09-02,2021-09-03,台北市,中山區,0,289,0.10
11199,2021-09-01,2021-09-02,台北市,中山區,1,289,0.10
11447,2021-08-31,2021-09-01,台北市,中山區,0,288,0.00
11695,2021-08-30,2021-08-31,台北市,中山區,0,288,0.00
11943,2021-08-29,2021-08-30,台北市,中山區,0,288,0.00
12191,2021-08-28,2021-08-29,台北市,中山區,0,288,0.00
12439,2021-08-27,2021-08-28,台北市,中山區,0,288,0.00
12687,2021-08-26,2021-08-27,台北市,中山區,0,288,0.00
12935,2021-08-25,2021-08-26,台北市,中山區,0,288,0.00
13183,2021-08-24,2021-08-25,台北市,中山區,0,288,0.00
13431,2021-08-23,2021-08-24,台北市,中山區,0,288,0.00
13679,2021-08-22,2021-08-23,台北市,中山區,0,288,0.00
13927,2021-08-21,2021-08-22,台北市,中山區,0,288,0.00
14175,2021-08-20,2021-08-21,台北市,中山區,0,288,0.00
14423,2021-08-19,2021-08-20,台北市,中山區,0,288,0.10
14671,2021-08-18,2021-08-19,台北市,中山區,0,288,0.30
