id,個案研判日,個案公布日,縣市,區域,新增確診人數,累計確診人數,七天移動平均新增確診
40,2021-10-16,2021-10-17,台北市,中正區,0,287,0.00
288,2021-10-15,2021-10-16,台北市,中正區,0,287,0.00
536,2021-10-14,2021-10-15,台北市,中正區,0,287,0.00
784,2021-10-13,2021-10-14,台北市,中正區,0,287,0.00
1032,2021-10-12,2021-10-13,台北市,中正區,0,287,0.00
1280,2021-10-11,2021-10-12,台北市,中正區,0,287,0.00
1528,2021-10-10,2021-10-11,台北市,中正區,0,287,0.00
1776,2021-10-09,2021-10-10,台北市,中正區,0,287,0.00
2024,2021-10-08,2021-10-09,台北市,中正區,0,287,0.00
2272,2021-10-07,2021-10-08,台北市,中正區,0,287,0.00
2520,2021-10-06,2021-10-07,台北市,中正區,0,287,0.00
2768,2021-10-05,2021-10-06,台北市,中正區,0,287,0.00
3016,2021-10-04,2021-10-05,台北市,中正區,0,287,0.00
3264,2021-10-03,2021-10-04,台北市,中正區,0,287,0.10
3512,2021-10-02,2021-10-03,台北市,中正區,0,287,0.10
3760,2021-10-01,2021-10-02,台北市,中正區,0,287,0.10
4008,2021-09-30,2021-10-01,台北市,中正區,0,287,0.10
4256,2021-09-29,2021-09-30,台北市,中正區,0,287,0.10
4504,2021-09-28,2021-09-29,台北市,中正區,0,287,0.10
4752,2021-09-27,2021-09-28,台北市,中正區,1,287,0.10
5000,2021-09-26,2021-09-27,台北市,中正區,0,286,0.00
5248,2021-09-25,2021-09-26,台北市,中正區,0,286,0.00
5496,2021-09-24,2021-09-25,台北市,中正區,0,286,0.00
5744,2021-09-23,2021-09-24,台北市,中正區,0,286,0.00
5992,2021-09-22,2021-09-23,台北市,中正區,0,286,0.00
6240,2021-09-21,2021-09-22,台北市,中正區,0,286,0.00
6488,2021-09-20,2021-09-21,台北市,中正區,0,286,0.00
6736,2021-09-19,2021-09-20,台北市,中正區,0,286,0.00
6984,2021-09-18,2021-09-19,台北市,中正區,0,286,0.00
7232,2021-09-17,2021-09-18,台北市,中正區,0,286,0.00
7480,2021-09-16,2021-09-17,台北市,中正區,0,286,0.00
7728,2021-09-15,2021-09-16,台北市,中正區,0,286,0.00
7976,2021-09-14,2021-09-15,台北市,中正區,0,286,0.00
8224,2021-09-13,2021-09-14,台北市,中正區,0,286,0.00
8472,2021-09-12,2021-09-13,台北市,中正區,0,286,0.00
8720,2021-09-11,2021-09-12,台北市,中正區,0,286,0.00
8968,2021-09-10,2021-09-11,台北市,中正區,0,286,0.00
9216,2021-09-09,2021-09-10,台北市,中正區,0,286,0.00
9464,2021-09-08,2021-09-09,台北市,中正區,0,286,0.00
9712,2021-09-07,2021-09-08,台北市,中正區,0,286,0.00
9960,2021-09-06,2021-09-07,台北市,中正區,0,286,0.00
10208,2021-09-05,2021-09-06,台北市,中正區,0,286,0.10
10456,2021-09-04,2021-09-05,台北市,中正區,0,286,0.10
10704,2021-09-03,2021-09-04,台北市,中正區,0,286,0.10
10952,2021-09-02,2021-09-03,台北市,中正區,0,286,0.10
11200,2021-09-01,2021-09-02,台北市,中正區,0,286,0.10
11448,2021-08-31,2021-09-01,台北市,中正區,0,286,0.10
11696,2021-08-30,2021-08-31,台北市,中正區,1,286,0.10
11944,2021-08-29,2021-08-30,台北市,中正區,0,285,0.00
12192,2021-08-28,2021-08-29,台北市,中正區,0,285,0.00
12440,2021-08-27,2021-08-28,台北市,中正區,0,285,0.00
12688,2021-08-26,2021-08-27,台北市,中正區,0,285,0.00
12936,2021-08-25,2021-08-26,台北市,中正區,0,285,0.00
13184,2021-08-24,2021-08-25,台北市,中正區,0,285,0.00
13432,2021-08-23,2021-08-24,台北市,中正區,0,285,0.00
13680,2021-08-22,2021-08-23,台北市,中正區,0,285,0.00
13928,2021-08-21,2021-08-22,台北市,中正區,0,285,0.00
14176,2021-08-20,2021-08-21,台北市,中正區,0,285,0.00
14424,2021-08-19,2021-08-20,台北市,中正區,0,285,0.00
14672,2021-08-18,2021-08-19,台北市,中正區,0,285,0.00
14920,2021-08-17,2021-08-18,台北市,中正區,0,285,0.00
15168,2021-08-16,2021-08-17,台北市,中正區,0,285,0.00
15416,2021-08-15,2021-08-16,台北市,中正區,0,285,0.00
15664,2021-08-14,2021-08-15,台北市,中正區,0,285,0.00
15912,2021-08-13,2021-08-14,台北市,中正區,0,285,0.00
16160,2021-08-12,2021-08-13,台北市,中正區,0,285,0.00
16408,2021-08-11,2021-08-12,台北市,中正區,0,285,0.00
16656,2021-08-10,2021-08-11,台北市,中正區,0,285,0.00
16904,2021-08-09,2021-08-10,台北市,中正區,0,285,0.00
17152,2021-08-08,2021-08-09,台北市,中正區,0,285,0.00
17400,2021-08-07,2021-08-08,台北市,中正區,0,285,0.00
17648,2021-08-06,2021-08-07,台北市,中正區,0,285,0.00
17896,2021-08-05,2021-08-06,台北市,中正區,0,285,0.00
18144,2021-08-04,2021-08-05,台北市,中正區,0,285,0.00
18392,2021-08-03,2021-08-04,台北市,中正區,0,285,0.00
18640,2021-08-02,2021-08-03,台北市,中正區,0,285,0.10
18887,2021-08-01,2021-08-02,台北市,中正區,0,285,0.30
19135,2021-07-31,2021-08-01,台北市,中正區,0,285,0.30
19383,2021-07-30,2021-07-31,台北市,中正區,0,285,0.30
19630,2021-07-29,2021-07-30,台北市,中正區,0,285,0.40
19878,2021-07-28,2021-07-29,台北市,中正區,0,285,0.70
20126,2021-07-27,2021-07-28,台北市,中正區,1,285,0.70
20375,2021-07-26,2021-07-27,台北市,中正區,1,284,0.70
20623,2021-07-25,2021-07-26,台北市,中正區,0,283,0.60
20871,2021-07-24,2021-07-25,台北市,中正區,0,283,0.70
21119,2021-07-23,2021-07-24,台北市,中正區,1,283,0.70
21368,2021-07-22,2021-07-23,台北市,中正區,2,282,0.70
21616,2021-07-21,2021-07-21,台北市,中正區,1,280,0.40
21864,2021-07-20,2021-07-20,台北市,中正區,0,279,0.40
