id,個案研判日,個案公布日,縣市,區域,新增確診人數,累計確診人數,七天移動平均新增確診
38,2021-10-16,2021-10-17,台北市,信義區,0,291,0.00
286,2021-10-15,2021-10-16,台北市,信義區,0,291,0.00
534,2021-10-14,2021-10-15,台北市,信義區,0,291,0.00
782,2021-10-13,2021-10-14,台北市,信義區,0,291,0.00
1030,2021-10-12,2021-10-13,台北市,信義區,0,291,0.00
1278,2021-10-11,2021-10-12,台北市,信義區,0,291,0.00
1526,2021-10-10,2021-10-11,台北市,信義區,0,291,0.00
1774,2021-10-09,2021-10-10,台北市,信義區,0,291,0.00
2022,2021-10-08,2021-10-09,台北市,信義區,0,291,0.00
2270,2021-10-07,2021-10-08,台北市,信義區,0,291,0.00
2518,2021-10-06,2021-10-07,台北市,信義區,0,291,0.00
2766,2021-10-05,2021-10-06,台北市,信義區,0,291,0.00
3014,2021-10-04,2021-10-05,台北市,信義區,0,291,0.00
3262,2021-10-03,2021-10-04,台北市,信義區,0,291,0.00
3510,2021-10-02,2021-10-03,台北市,信義區,0,291,0.00
3758,2021-10-01,2021-10-02,台北市,信義區,0,291,0.00
4006,2021-09-30,2021-10-01,台北市,信義區,0,291,0.00
4254,2021-09-29,2021-09-30,台北市,信義區,0,291,0.00
4502,2021-09-28,2021-09-29,台北市,信義區,0,291,0.00
4750,2021-09-27,2021-09-28,台北市,信義區,0,291,0.00
4998,2021-09-26,2021-09-27,台北市,信義區,0,291,0.00
5246,2021-09-25,2021-09-26,台北市,信義區,0,291,0.00
5494,2021-09-24,2021-09-25,台北市,信義區,0,291,0.00
5742,2021-09-23,2021-09-24,台北市,信義區,0,291,0.00
5990,2021-09-22,2021-09-23,台北市,信義區,0,291,0.00
6238,2021-09-21,2021-09-22,台北市,信義區,0,291,0.00
6486,2021-09-20,2021-09-21,台北市,信義區,0,291,0.00
6734,2021-09-19,2021-09-20,台北市,信義區,0,291,0.00
6982,2021-09-18,2021-09-19,台北市,信義區,0,291,0.00
7230,2021-09-17,2021-09-18,台北市,信義區,0,291,0.00
7478,2021-09-16,2021-09-17,台北市,信義區,0,291,0.00
7726,2021-09-15,2021-09-16,台北市,信義區,0,291,0.00
7974,2021-09-14,2021-09-15,台北市,信義區,0,291,0.00
8222,2021-09-13,2021-09-14,台北市,信義區,0,291,0.00
8470,2021-09-12,2021-09-13,台北市,信義區,0,291,0.00
8718,2021-09-11,2021-09-12,台北市,信義區,0,291,0.00
8966,2021-09-10,2021-09-11,台北市,信義區,0,291,0.00
9214,2021-09-09,2021-09-10,台北市,信義區,0,291,0.00
9462,2021-09-08,2021-09-09,台北市,信義區,0,291,0.00
9710,2021-09-07,2021-09-08,台北市,信義區,0,291,0.00
9958,2021-09-06,2021-09-07,台北市,信義區,0,291,0.10
10206,2021-09-05,2021-09-06,台北市,信義區,0,291,0.10
10454,2021-09-04,2021-09-05,台北市,信義區,0,291,0.10
10702,2021-09-03,2021-09-04,台北市,信義區,0,291,0.10
10950,2021-09-02,2021-09-03,台北市,信義區,0,291,0.10
11198,2021-09-01,2021-09-02,台北市,信義區,0,291,0.10
11446,2021-08-31,2021-09-01,台北市,信義區,1,291,0.10
11694,2021-08-30,2021-08-31,台北市,信義區,0,290,0.00
11942,2021-08-29,2021-08-30,台北市,信義區,0,290,0.00
12190,2021-08-28,2021-08-29,台北市,信義區,0,290,0.00
12438,2021-08-27,2021-08-28,台北市,信義區,0,290,0.00
12686,2021-08-26,2021-08-27,台北市,信義區,0,290,0.00
12934,2021-08-25,2021-08-26,台北市,信義區,0,290,0.00
13182,2021-08-24,2021-08-25,台北市,信義區,0,290,0.00
13430,2021-08-23,2021-08-24,台北市,信義區,0,290,0.00
13678,2021-08-22,2021-08-23,台北市,信義區,0,290,0.00
13926,2021-08-21,2021-08-22,台北市,信義區,0,290,0.00
14174,2021-08-20,2021-08-21,台北市,信義區,0,290,0.00
14422,2021-08-19,2021-08-20,台北市,信義區,0,290,0.00
14670,2021-08-18,2021-08-19,台北市,信義區,0,290,0.10
14918,2021-08-17,2021-08-18,台北市,信義區,0,290,0.30
15166,2021-08-16,2021-08-17,台北市,信義區,0,290,0.30
15414,2021-08-15,2021-08-16,台北市,信義區,0,290,0.30
15662,2021-08-14,2021-08-15,台北市,信義區,0,290,0.30
15910,2021-08-13,2021-08-14,台北市,信義區,0,290,0.40
16158,2021-08-12,2021-08-13,台北市,信義區,1,290,0.40
16406,2021-08-11,2021-08-12,台北市,信義區,1,289,0.30
16654,2021-08-10,2021-08-11,台北市,信義區,0,288,0.10
16902,2021-08-09,2021-08-10,台北市,信義區,0,288,0.10
17150,2021-08-08,2021-08-09,台北市,信義區,0,288,0.10
17398,2021-08-07,2021-08-08,台北市,信義區,1,288,0.10
17646,2021-08-06,2021-08-07,台北市,信義區,0,287,0.10
17894,2021-08-05,2021-08-06,台北市,信義區,0,287,0.30
18142,2021-08-04,2021-08-05,台北市,信義區,0,287,0.30
18390,2021-08-03,2021-08-04,台北市,信義區,0,287,0.30
18638,2021-08-02,2021-08-03,台北市,信義區,0,287,0.30
18886,2021-08-01,2021-08-02,台北市,信義區,0,287,0.30
19134,2021-07-31,2021-08-01,台北市,信義區,1,287,0.30
19382,2021-07-30,2021-07-31,台北市,信義區,1,286,0.30
19631,2021-07-29,2021-07-30,台北市,信義區,0,285,0.30
19879,2021-07-28,2021-07-29,台北市,信義區,0,285,0.30
20127,2021-07-27,2021-07-28,台北市,信義區,0,285,0.30
20374,2021-07-26,2021-07-27,台北市,信義區,0,285,0.30
20622,2021-07-25,2021-07-26,台北市,信義區,0,285,0.30
20870,2021-07-24,2021-07-25,台北市,信義區,1,285,0.30
21118,2021-07-23,2021-07-24,台北市,信義區,1,284,0.30
21366,2021-07-22,2021-07-23,台北市,信義區,0,283,0.10
21614,2021-07-21,2021-07-21,台北市,信義區,0,283,0.30
21861,2021-07-20,2021-07-20,台北市,信義區,0,283,0.30
22109,2021-07-19,2021-07-19,台北市,信義區,0,283,0.60
22357,2021-07-18,2021-07-18,台北市,信義區,1,283,0.60
22606,2021-07-17,2021-07-17,台北市,信義區,0,282,0.40
22854,2021-07-16,2021-07-16,台北市,信義區,1,282,0.70
23101,2021-07-15,2021-07-15,台北市,信義區,0,281,0.70
23349,2021-07-14,2021-07-14,台北市,信義區,0,281,0.90
23597,2021-07-13,2021-07-13,台北市,信義區,2,281,1.30
