id,個案研判日,個案公布日,縣市,區域,新增確診人數,累計確診人數,七天移動平均新增確診
42,2021-10-16,2021-10-17,台北市,內湖區,0,181,0.00
290,2021-10-15,2021-10-16,台北市,內湖區,0,181,0.00
538,2021-10-14,2021-10-15,台北市,內湖區,0,181,0.00
786,2021-10-13,2021-10-14,台北市,內湖區,0,181,0.00
1034,2021-10-12,2021-10-13,台北市,內湖區,0,181,0.00
1282,2021-10-11,2021-10-12,台北市,內湖區,0,181,0.00
1530,2021-10-10,2021-10-11,台北市,內湖區,0,181,0.00
1778,2021-10-09,2021-10-10,台北市,內湖區,0,181,0.00
2026,2021-10-08,2021-10-09,台北市,內湖區,0,181,0.00
2274,2021-10-07,2021-10-08,台北市,內湖區,0,181,0.00
2522,2021-10-06,2021-10-07,台北市,內湖區,0,181,0.00
2770,2021-10-05,2021-10-06,台北市,內湖區,0,181,0.00
3018,2021-10-04,2021-10-05,台北市,內湖區,0,181,0.00
3266,2021-10-03,2021-10-04,台北市,內湖區,0,181,0.00
3514,2021-10-02,2021-10-03,台北市,內湖區,0,181,0.00
3762,2021-10-01,2021-10-02,台北市,內湖區,0,181,0.00
4010,2021-09-30,2021-10-01,台北市,內湖區,0,181,0.00
4258,2021-09-29,2021-09-30,台北市,內湖區,0,181,0.00
4506,2021-09-28,2021-09-29,台北市,內湖區,0,181,0.00
4754,2021-09-27,2021-09-28,台北市,內湖區,0,181,0.00
5002,2021-09-26,2021-09-27,台北市,內湖區,0,181,0.00
5250,2021-09-25,2021-09-26,台北市,內湖區,0,181,0.00
5498,2021-09-24,2021-09-25,台北市,內湖區,0,181,0.00
5746,2021-09-23,2021-09-24,台北市,內湖區,0,181,0.00
5994,2021-09-22,2021-09-23,台北市,內湖區,0,181,0.00
6242,2021-09-21,2021-09-22,台北市,內湖區,0,181,0.00
6490,2021-09-20,2021-09-21,台北市,內湖區,0,181,0.00
6738,2021-09-19,2021-09-20,台北市,內湖區,0,181,0.00
6986,2021-09-18,2021-09-19,台北市,內湖區,0,181,0.00
7234,2021-09-17,2021-09-18,台北市,內湖區,0,181,0.00
7482,2021-09-16,2021-09-17,台北市,內湖區,0,181,0.00
7730,2021-09-15,2021-09-16,台北市,內湖區,0,181,0.00
7978,2021-09-14,2021-09-15,台北市,內湖區,0,181,0.00
8226,2021-09-13,2021-09-14,台北市,內湖區,0,181,0.00
8474,2021-09-12,2021-09-13,台北市,內湖區,0,181,0.00
8722,2021-09-11,2021-09-12,台北市,內湖區,0,181,0.00
