id,個案研判日,個案公布日,縣市,區域,新增確診人數,累計確診人數,七天移動平均新增確診
280,2021-10-15,2021-10-16,台北市,全區,0,4868,0.00
528,2021-10-14,2021-10-15,台北市,全區,0,4868,0.10
776,2021-10-13,2021-10-14,台北市,全區,0,4868,0.10
1024,2021-10-12,2021-10-13,台北市,全區,0,4868,0.10
1272,2021-10-11,2021-10-12,台北市,全區,0,4868,0.10
1520,2021-10-10,2021-10-11,台北市,全區,0,4868,0.10
1768,2021-10-09,2021-10-10,台北市,全區,0,4868,0.10
2016,2021-10-08,2021-10-09,台北市,全區,1,4868,0.10
2264,2021-10-07,2021-10-08,台北市,全區,0,4867,0.00
2512,2021-10-06,2021-10-07,台北市,全區,0,4867,0.00
2760,2021-10-05,2021-10-06,台北市,全區,0,4867,0.00
3008,2021-10-04,2021-10-05,台北市,全區,0,4867,0.00
3256,2021-10-03,2021-10-04,台北市,全區,0,4867,0.10
3504,2021-10-02,2021-10-03,台北市,全區,0,4867,0.10
3752,2021-10-01,2021-10-02,台北市,全區,0,4867,0.10
4000,2021-09-30,2021-10-01,台北市,全區,0,4867,0.10
4248,2021-09-29,2021-09-30,台北市,全區,0,4867,0.10
4496,2021-09-28,2021-09-29,台北市,全區,0,4867,0.10
4744,2021-09-27,2021-09-28,台北市,全區,1,4867,0.10
4992,2021-09-26,2021-09-27,台北市,全區,0,4866,0.00
5240,2021-09-25,2021-09-26,台北市,全區,0,4866,0.10
5488,2021-09-24,2021-09-25,台北市,全區,0,4866,0.30
5736,2021-09-23,2021-09-24,台北市,全區,0,4866,0.30
5984,2021-09-22,2021-09-23,台北市,全區,0,4866,0.60
6232,2021-09-21,2021-09-22,台北市,全區,0,4866,0.60
6480,2021-09-20,2021-09-21,台北市,全區,0,4866,0.60
6728,2021-09-19,2021-09-20,台北市,全區,1,4866,0.60
6976,2021-09-18,2021-09-19,台北市,全區,1,4865,0.40
7224,2021-09-17,2021-09-18,台北市,全區,0,4864,0.40
7472,2021-09-16,2021-09-17,台北市,全區,2,4864,0.40
7720,2021-09-15,2021-09-16,台北市,全區,0,4862,0.30
7968,2021-09-14,2021-09-15,台北市,全區,0,4862,0.60
8216,2021-09-13,2021-09-14,台北市,全區,0,4862,0.60
8464,2021-09-12,2021-09-13,台北市,全區,0,4862,0.70
