id,個案研判日,個案公布日,縣市,區域,新增確診人數,累計確診人數,七天移動平均新增確診
41,2021-10-16,2021-10-17,台北市,北投區,0,237,0.00
289,2021-10-15,2021-10-16,台北市,北投區,0,237,0.00
537,2021-10-14,2021-10-15,台北市,北投區,0,237,0.00
785,2021-10-13,2021-10-14,台北市,北投區,0,237,0.00
1033,2021-10-12,2021-10-13,台北市,北投區,0,237,0.00
1281,2021-10-11,2021-10-12,台北市,北投區,0,237,0.00
1529,2021-10-10,2021-10-11,台北市,北投區,0,237,0.00
1777,2021-10-09,2021-10-10,台北市,北投區,0,237,0.00
2025,2021-10-08,2021-10-09,台北市,北投區,0,237,0.00
2273,2021-10-07,2021-10-08,台北市,北投區,0,237,0.00
2521,2021-10-06,2021-10-07,台北市,北投區,0,237,0.00
2769,2021-10-05,2021-10-06,台北市,北投區,0,237,0.00
3017,2021-10-04,2021-10-05,台北市,北投區,0,237,0.00
3265,2021-10-03,2021-10-04,台北市,北投區,0,237,0.00
3513,2021-10-02,2021-10-03,台北市,北投區,0,237,0.00
3761,2021-10-01,2021-10-02,台北市,北投區,0,237,0.00
4009,2021-09-30,2021-10-01,台北市,北投區,0,237,0.00
4257,2021-09-29,2021-09-30,台北市,北投區,0,237,0.00
4505,2021-09-28,2021-09-29,台北市,北投區,0,237,0.00
4753,2021-09-27,2021-09-28,台北市,北投區,0,237,0.00
5001,2021-09-26,2021-09-27,台北市,北投區,0,237,0.00
5249,2021-09-25,2021-09-26,台北市,北投區,0,237,0.10
5497,2021-09-24,2021-09-25,台北市,北投區,0,237,0.10
5745,2021-09-23,2021-09-24,台北市,北投區,0,237,0.10
5993,2021-09-22,2021-09-23,台北市,北投區,0,237,0.10
6241,2021-09-21,2021-09-22,台北市,北投區,0,237,0.10
6489,2021-09-20,2021-09-21,台北市,北投區,0,237,0.10
6737,2021-09-19,2021-09-20,台北市,北投區,1,237,0.10
6985,2021-09-18,2021-09-19,台北市,北投區,0,236,0.00
7233,2021-09-17,2021-09-18,台北市,北投區,0,236,0.00
7481,2021-09-16,2021-09-17,台北市,北投區,0,236,0.00
7729,2021-09-15,2021-09-16,台北市,北投區,0,236,0.00
7977,2021-09-14,2021-09-15,台北市,北投區,0,236,0.00
8225,2021-09-13,2021-09-14,台北市,北投區,0,236,0.00
8473,2021-09-12,2021-09-13,台北市,北投區,0,236,0.10
8721,2021-09-11,2021-09-12,台北市,北投區,0,236,0.10
8969,2021-09-10,2021-09-11,台北市,北投區,0,236,0.10
9217,2021-09-09,2021-09-10,台北市,北投區,0,236,0.10
9465,2021-09-08,2021-09-09,台北市,北投區,0,236,0.10
9713,2021-09-07,2021-09-08,台北市,北投區,0,236,0.10
9961,2021-09-06,2021-09-07,台北市,北投區,1,236,0.10
10209,2021-09-05,2021-09-06,台北市,北投區,0,235,0.00
10457,2021-09-04,2021-09-05,台北市,北投區,0,235,0.00
10705,2021-09-03,2021-09-04,台北市,北投區,0,235,0.10
10953,2021-09-02,2021-09-03,台北市,北投區,0,235,0.10
11201,2021-09-01,2021-09-02,台北市,北投區,0,235,0.10
11449,2021-08-31,2021-09-01,台北市,北投區,0,235,0.10
11697,2021-08-30,2021-08-31,台北市,北投區,0,235,0.10
11945,2021-08-29,2021-08-30,台北市,北投區,0,235,0.10
12193,2021-08-28,2021-08-29,台北市,北投區,1,235,0.10
12441,2021-08-27,2021-08-28,台北市,北投區,0,234,0.00
12689,2021-08-26,2021-08-27,台北市,北投區,0,234,0.00
12937,2021-08-25,2021-08-26,台北市,北投區,0,234,0.00
13185,2021-08-24,2021-08-25,台北市,北投區,0,234,0.00
13433,2021-08-23,2021-08-24,台北市,北投區,0,234,0.00
13681,2021-08-22,2021-08-23,台北市,北投區,0,234,0.00
13929,2021-08-21,2021-08-22,台北市,北投區,0,234,0.00
14177,2021-08-20,2021-08-21,台北市,北投區,0,234,0.00
14425,2021-08-19,2021-08-20,台北市,北投區,0,234,0.00
14673,2021-08-18,2021-08-19,台北市,北投區,0,234,0.00
14921,2021-08-17,2021-08-18,台北市,北投區,0,234,0.00
15169,2021-08-16,2021-08-17,台北市,北投區,0,234,0.00
15417,2021-08-15,2021-08-16,台北市,北投區,0,234,0.00
15665,2021-08-14,2021-08-15,台北市,北投區,0,234,0.00
15913,2021-08-13,2021-08-14,台北市,北投區,0,234,0.00
16161,2021-08-12,2021-08-13,台北市,北投區,0,234,0.00
16409,2021-08-11,2021-08-12,台北市,北投區,0,234,0.00
16657,2021-08-10,2021-08-11,台北市,北投區,0,234,0.00
16905,2021-08-09,2021-08-10,台北市,北投區,0,234,0.00
17153,2021-08-08,2021-08-09,台北市,北投區,0,234,0.00
17401,2021-08-07,2021-08-08,台北市,北投區,0,234,0.00
17649,2021-08-06,2021-08-07,台北市,北投區,0,234,0.10
17897,2021-08-05,2021-08-06,台北市,北投區,0,234,0.10
18145,2021-08-04,2021-08-05,台北市,北投區,0,234,0.10
18393,2021-08-03,2021-08-04,台北市,北投區,0,234,0.30
18641,2021-08-02,2021-08-03,台北市,北投區,0,234,0.30
18889,2021-08-01,2021-08-02,台北市,北投區,0,234,0.30
19137,2021-07-31,2021-08-01,台北市,北投區,1,234,0.30
19385,2021-07-30,2021-07-31,台北市,北投區,0,233,0.30
19633,2021-07-29,2021-07-30,台北市,北投區,0,233,0.30
19881,2021-07-28,2021-07-29,台北市,北投區,1,233,0.30
20129,2021-07-27,2021-07-28,台北市,北投區,0,232,0.10
20377,2021-07-26,2021-07-27,台北市,北投區,0,232,0.10
20625,2021-07-25,2021-07-26,台北市,北投區,0,232,0.60
20873,2021-07-24,2021-07-25,台北市,北投區,1,232,0.60
