id,個案研判日,個案公布日,縣市,區域,新增確診人數,累計確診人數,七天移動平均新增確診
34,2021-10-16,2021-10-17,台北市,士林區,0,408,0.00
282,2021-10-15,2021-10-16,台北市,士林區,0,408,0.00
530,2021-10-14,2021-10-15,台北市,士林區,0,408,0.00
778,2021-10-13,2021-10-14,台北市,士林區,0,408,0.00
1026,2021-10-12,2021-10-13,台北市,士林區,0,408,0.00
1274,2021-10-11,2021-10-12,台北市,士林區,0,408,0.00
1522,2021-10-10,2021-10-11,台北市,士林區,0,408,0.00
1770,2021-10-09,2021-10-10,台北市,士林區,0,408,0.00
2018,2021-10-08,2021-10-09,台北市,士林區,0,408,0.00
2266,2021-10-07,2021-10-08,台北市,士林區,0,408,0.00
2514,2021-10-06,2021-10-07,台北市,士林區,0,408,0.00
2762,2021-10-05,2021-10-06,台北市,士林區,0,408,0.00
3010,2021-10-04,2021-10-05,台北市,士林區,0,408,0.00
3258,2021-10-03,2021-10-04,台北市,士林區,0,408,0.00
3506,2021-10-02,2021-10-03,台北市,士林區,0,408,0.00
3754,2021-10-01,2021-10-02,台北市,士林區,0,408,0.00
4002,2021-09-30,2021-10-01,台北市,士林區,0,408,0.00
4250,2021-09-29,2021-09-30,台北市,士林區,0,408,0.00
4498,2021-09-28,2021-09-29,台北市,士林區,0,408,0.00
4746,2021-09-27,2021-09-28,台北市,士林區,0,408,0.00
4994,2021-09-26,2021-09-27,台北市,士林區,0,408,0.00
5242,2021-09-25,2021-09-26,台北市,士林區,0,408,0.00
5490,2021-09-24,2021-09-25,台北市,士林區,0,408,0.00
5738,2021-09-23,2021-09-24,台北市,士林區,0,408,0.00
5986,2021-09-22,2021-09-23,台北市,士林區,0,408,0.00
6234,2021-09-21,2021-09-22,台北市,士林區,0,408,0.00
6482,2021-09-20,2021-09-21,台北市,士林區,0,408,0.00
6730,2021-09-19,2021-09-20,台北市,士林區,0,408,0.00
6978,2021-09-18,2021-09-19,台北市,士林區,0,408,0.00
7226,2021-09-17,2021-09-18,台北市,士林區,0,408,0.00
7474,2021-09-16,2021-09-17,台北市,士林區,0,408,0.00
7722,2021-09-15,2021-09-16,台北市,士林區,0,408,0.00
7970,2021-09-14,2021-09-15,台北市,士林區,0,408,0.00
8218,2021-09-13,2021-09-14,台北市,士林區,0,408,0.00
8466,2021-09-12,2021-09-13,台北市,士林區,0,408,0.00
8714,2021-09-11,2021-09-12,台北市,士林區,0,408,0.00
8962,2021-09-10,2021-09-11,台北市,士林區,0,408,0.00
9210,2021-09-09,2021-09-10,台北市,士林區,0,408,0.00
9458,2021-09-08,2021-09-09,台北市,士林區,0,408,0.00
9706,2021-09-07,2021-09-08,台北市,士林區,0,408,0.00
9954,2021-09-06,2021-09-07,台北市,士林區,0,408,0.00
10202,2021-09-05,2021-09-06,台北市,士林區,0,408,0.00
10450,2021-09-04,2021-09-05,台北市,士林區,0,408,0.00
10698,2021-09-03,2021-09-04,台北市,士林區,0,408,0.00
10946,2021-09-02,2021-09-03,台北市,士林區,0,408,0.00
11194,2021-09-01,2021-09-02,台北市,士林區,0,408,0.00
11442,2021-08-31,2021-09-01,台北市,士林區,0,408,0.00
11690,2021-08-30,2021-08-31,台北市,士林區,0,408,0.00
11938,2021-08-29,2021-08-30,台北市,士林區,0,408,0.00
12186,2021-08-28,2021-08-29,台北市,士林區,0,408,0.00
12434,2021-08-27,2021-08-28,台北市,士林區,0,408,0.10
12682,2021-08-26,2021-08-27,台北市,士林區,0,408,0.10
12930,2021-08-25,2021-08-26,台北市,士林區,0,408,0.10
13178,2021-08-24,2021-08-25,台北市,士林區,0,408,0.10
13426,2021-08-23,2021-08-24,台北市,士林區,0,408,0.30
13674,2021-08-22,2021-08-23,台北市,士林區,0,408,0.30
13922,2021-08-21,2021-08-22,台北市,士林區,1,408,0.30
14170,2021-08-20,2021-08-21,台北市,士林區,0,407,0.10
14418,2021-08-19,2021-08-20,台北市,士林區,0,407,0.10
14666,2021-08-18,2021-08-19,台北市,士林區,0,407,0.10
14914,2021-08-17,2021-08-18,台北市,士林區,1,407,0.10
15162,2021-08-16,2021-08-17,台北市,士林區,0,406,0.00
15410,2021-08-15,2021-08-16,台北市,士林區,0,406,0.00
15658,2021-08-14,2021-08-15,台北市,士林區,0,406,0.10
15906,2021-08-13,2021-08-14,台北市,士林區,0,406,0.10
16154,2021-08-12,2021-08-13,台北市,士林區,0,406,0.10
16402,2021-08-11,2021-08-12,台北市,士林區,0,406,0.10
16650,2021-08-10,2021-08-11,台北市,士林區,0,406,0.10
16898,2021-08-09,2021-08-10,台北市,士林區,0,406,0.30
17146,2021-08-08,2021-08-09,台北市,士林區,1,406,0.30
17394,2021-08-07,2021-08-08,台北市,士林區,0,405,0.10
17642,2021-08-06,2021-08-07,台北市,士林區,0,405,0.10
17890,2021-08-05,2021-08-06,台北市,士林區,0,405,0.30
18138,2021-08-04,2021-08-05,台北市,士林區,0,405,0.30
18386,2021-08-03,2021-08-04,台北市,士林區,1,405,0.70
18634,2021-08-02,2021-08-03,台北市,士林區,0,404,0.90
18882,2021-08-01,2021-08-02,台北市,士林區,0,404,0.90
19130,2021-07-31,2021-08-01,台北市,士林區,0,404,0.90
19378,2021-07-30,2021-07-31,台北市,士林區,1,404,1.00
19626,2021-07-29,2021-07-30,台北市,士林區,0,403,1.00
19874,2021-07-28,2021-07-29,台北市,士林區,3,403,1.00
20122,2021-07-27,2021-07-28,台北市,士林區,2,400,0.60
20370,2021-07-26,2021-07-27,台北市,士林區,0,398,0.90
20618,2021-07-25,2021-07-26,台北市,士林區,0,398,1.00
20866,2021-07-24,2021-07-25,台北市,士林區,1,398,1.00
