id,個案研判日,個案公布日,縣市,區域,新增確診人數,累計確診人數,七天移動平均新增確診
36,2021-10-16,2021-10-17,台北市,大同區,0,303,0.00
284,2021-10-15,2021-10-16,台北市,大同區,0,303,0.00
532,2021-10-14,2021-10-15,台北市,大同區,0,303,0.00
780,2021-10-13,2021-10-14,台北市,大同區,0,303,0.00
1028,2021-10-12,2021-10-13,台北市,大同區,0,303,0.00
1276,2021-10-11,2021-10-12,台北市,大同區,0,303,0.00
1524,2021-10-10,2021-10-11,台北市,大同區,0,303,0.00
1772,2021-10-09,2021-10-10,台北市,大同區,0,303,0.00
2020,2021-10-08,2021-10-09,台北市,大同區,0,303,0.00
2268,2021-10-07,2021-10-08,台北市,大同區,0,303,0.00
2516,2021-10-06,2021-10-07,台北市,大同區,0,303,0.00
2764,2021-10-05,2021-10-06,台北市,大同區,0,303,0.00
3012,2021-10-04,2021-10-05,台北市,大同區,0,303,0.00
3260,2021-10-03,2021-10-04,台北市,大同區,0,303,0.00
3508,2021-10-02,2021-10-03,台北市,大同區,0,303,0.00
3756,2021-10-01,2021-10-02,台北市,大同區,0,303,0.00
4004,2021-09-30,2021-10-01,台北市,大同區,0,303,0.00
4252,2021-09-29,2021-09-30,台北市,大同區,0,303,0.00
4500,2021-09-28,2021-09-29,台北市,大同區,0,303,0.00
4748,2021-09-27,2021-09-28,台北市,大同區,0,303,0.00
4996,2021-09-26,2021-09-27,台北市,大同區,0,303,0.00
5244,2021-09-25,2021-09-26,台北市,大同區,0,303,0.00
5492,2021-09-24,2021-09-25,台北市,大同區,0,303,0.00
5740,2021-09-23,2021-09-24,台北市,大同區,0,303,0.00
5988,2021-09-22,2021-09-23,台北市,大同區,0,303,0.10
6236,2021-09-21,2021-09-22,台北市,大同區,0,303,0.10
6484,2021-09-20,2021-09-21,台北市,大同區,0,303,0.10
6732,2021-09-19,2021-09-20,台北市,大同區,0,303,0.10
6980,2021-09-18,2021-09-19,台北市,大同區,0,303,0.10
7228,2021-09-17,2021-09-18,台北市,大同區,0,303,0.10
7476,2021-09-16,2021-09-17,台北市,大同區,1,303,0.10
7724,2021-09-15,2021-09-16,台北市,大同區,0,302,0.00
7972,2021-09-14,2021-09-15,台北市,大同區,0,302,0.00
8220,2021-09-13,2021-09-14,台北市,大同區,0,302,0.00
8468,2021-09-12,2021-09-13,台北市,大同區,0,302,0.00
8716,2021-09-11,2021-09-12,台北市,大同區,0,302,0.00
8964,2021-09-10,2021-09-11,台北市,大同區,0,302,0.00
9212,2021-09-09,2021-09-10,台北市,大同區,0,302,0.00
9460,2021-09-08,2021-09-09,台北市,大同區,0,302,0.00
9708,2021-09-07,2021-09-08,台北市,大同區,0,302,0.00
9956,2021-09-06,2021-09-07,台北市,大同區,0,302,0.00
10204,2021-09-05,2021-09-06,台北市,大同區,0,302,0.00
10452,2021-09-04,2021-09-05,台北市,大同區,0,302,0.00
10700,2021-09-03,2021-09-04,台北市,大同區,0,302,0.00
10948,2021-09-02,2021-09-03,台北市,大同區,0,302,0.00
11196,2021-09-01,2021-09-02,台北市,大同區,0,302,0.00
11444,2021-08-31,2021-09-01,台北市,大同區,0,302,0.00
11692,2021-08-30,2021-08-31,台北市,大同區,0,302,0.00
11940,2021-08-29,2021-08-30,台北市,大同區,0,302,0.00
12188,2021-08-28,2021-08-29,台北市,大同區,0,302,0.00
12436,2021-08-27,2021-08-28,台北市,大同區,0,302,0.10
12684,2021-08-26,2021-08-27,台北市,大同區,0,302,0.10
12932,2021-08-25,2021-08-26,台北市,大同區,0,302,0.10
13180,2021-08-24,2021-08-25,台北市,大同區,0,302,0.10
13428,2021-08-23,2021-08-24,台北市,大同區,0,302,0.10
13676,2021-08-22,2021-08-23,台北市,大同區,0,302,0.10
13924,2021-08-21,2021-08-22,台北市,大同區,1,302,0.10
14172,2021-08-20,2021-08-21,台北市,大同區,0,301,0.00
14420,2021-08-19,2021-08-20,台北市,大同區,0,301,0.00
14668,2021-08-18,2021-08-19,台北市,大同區,0,301,0.00
14916,2021-08-17,2021-08-18,台北市,大同區,0,301,0.10
15164,2021-08-16,2021-08-17,台北市,大同區,0,301,0.30
15412,2021-08-15,2021-08-16,台北市,大同區,0,301,0.30
15660,2021-08-14,2021-08-15,台北市,大同區,0,301,0.30
15908,2021-08-13,2021-08-14,台北市,大同區,0,301,0.30
16156,2021-08-12,2021-08-13,台北市,大同區,0,301,0.30
16404,2021-08-11,2021-08-12,台北市,大同區,1,301,0.30
16652,2021-08-10,2021-08-11,台北市,大同區,1,300,0.10
16900,2021-08-09,2021-08-10,台北市,大同區,0,299,0.00
17148,2021-08-08,2021-08-09,台北市,大同區,0,299,0.00
17396,2021-08-07,2021-08-08,台北市,大同區,0,299,0.00
17644,2021-08-06,2021-08-07,台北市,大同區,0,299,0.00
17892,2021-08-05,2021-08-06,台北市,大同區,0,299,0.00
18140,2021-08-04,2021-08-05,台北市,大同區,0,299,0.00
18388,2021-08-03,2021-08-04,台北市,大同區,0,299,0.00
18636,2021-08-02,2021-08-03,台北市,大同區,0,299,0.00
18884,2021-08-01,2021-08-02,台北市,大同區,0,299,0.10
19132,2021-07-31,2021-08-01,台北市,大同區,0,299,0.10
19380,2021-07-30,2021-07-31,台北市,大同區,0,299,0.10
