id,個案研判日,個案公布日,縣市,區域,新增確診人數,累計確診人數,七天移動平均新增確診
37,2021-10-16,2021-10-17,台北市,大安區,0,298,0.00
285,2021-10-15,2021-10-16,台北市,大安區,0,298,0.00
533,2021-10-14,2021-10-15,台北市,大安區,0,298,0.00
781,2021-10-13,2021-10-14,台北市,大安區,0,298,0.00
1029,2021-10-12,2021-10-13,台北市,大安區,0,298,0.00
1277,2021-10-11,2021-10-12,台北市,大安區,0,298,0.00
1525,2021-10-10,2021-10-11,台北市,大安區,0,298,0.00
1773,2021-10-09,2021-10-10,台北市,大安區,0,298,0.00
2021,2021-10-08,2021-10-09,台北市,大安區,0,298,0.00
2269,2021-10-07,2021-10-08,台北市,大安區,0,298,0.00
2517,2021-10-06,2021-10-07,台北市,大安區,0,298,0.00
2765,2021-10-05,2021-10-06,台北市,大安區,0,298,0.00
3013,2021-10-04,2021-10-05,台北市,大安區,0,298,0.00
3261,2021-10-03,2021-10-04,台北市,大安區,0,298,0.00
3509,2021-10-02,2021-10-03,台北市,大安區,0,298,0.00
3757,2021-10-01,2021-10-02,台北市,大安區,0,298,0.00
4005,2021-09-30,2021-10-01,台北市,大安區,0,298,0.00
4253,2021-09-29,2021-09-30,台北市,大安區,0,298,0.00
4501,2021-09-28,2021-09-29,台北市,大安區,0,298,0.00
4749,2021-09-27,2021-09-28,台北市,大安區,0,298,0.00
4997,2021-09-26,2021-09-27,台北市,大安區,0,298,0.00
5245,2021-09-25,2021-09-26,台北市,大安區,0,298,0.00
5493,2021-09-24,2021-09-25,台北市,大安區,0,298,0.00
5741,2021-09-23,2021-09-24,台北市,大安區,0,298,0.00
5989,2021-09-22,2021-09-23,台北市,大安區,0,298,0.00
6237,2021-09-21,2021-09-22,台北市,大安區,0,298,0.00
6485,2021-09-20,2021-09-21,台北市,大安區,0,298,0.00
6733,2021-09-19,2021-09-20,台北市,大安區,0,298,0.00
6981,2021-09-18,2021-09-19,台北市,大安區,0,298,0.00
7229,2021-09-17,2021-09-18,台北市,大安區,0,298,0.00
7477,2021-09-16,2021-09-17,台北市,大安區,0,298,0.00
7725,2021-09-15,2021-09-16,台北市,大安區,0,298,0.00
7973,2021-09-14,2021-09-15,台北市,大安區,0,298,0.00
8221,2021-09-13,2021-09-14,台北市,大安區,0,298,0.00
8469,2021-09-12,2021-09-13,台北市,大安區,0,298,0.00
8717,2021-09-11,2021-09-12,台北市,大安區,0,298,0.00
8965,2021-09-10,2021-09-11,台北市,大安區,0,298,0.00
9213,2021-09-09,2021-09-10,台北市,大安區,0,298,0.00
9461,2021-09-08,2021-09-09,台北市,大安區,0,298,0.00
9709,2021-09-07,2021-09-08,台北市,大安區,0,298,0.00
9957,2021-09-06,2021-09-07,台北市,大安區,0,298,0.00
10205,2021-09-05,2021-09-06,台北市,大安區,0,298,0.00
10453,2021-09-04,2021-09-05,台北市,大安區,0,298,0.00
10701,2021-09-03,2021-09-04,台北市,大安區,0,298,0.00
10949,2021-09-02,2021-09-03,台北市,大安區,0,298,0.00
11197,2021-09-01,2021-09-02,台北市,大安區,0,298,0.00
11445,2021-08-31,2021-09-01,台北市,大安區,0,298,0.00
11693,2021-08-30,2021-08-31,台北市,大安區,0,298,0.00
11941,2021-08-29,2021-08-30,台北市,大安區,0,298,0.00
12189,2021-08-28,2021-08-29,台北市,大安區,0,298,0.00
12437,2021-08-27,2021-08-28,台北市,大安區,0,298,0.00
12685,2021-08-26,2021-08-27,台北市,大安區,0,298,0.00
12933,2021-08-25,2021-08-26,台北市,大安區,0,298,0.30
13181,2021-08-24,2021-08-25,台北市,大安區,0,298,0.30
13429,2021-08-23,2021-08-24,台北市,大安區,0,298,0.40
13677,2021-08-22,2021-08-23,台北市,大安區,0,298,0.40
13925,2021-08-21,2021-08-22,台北市,大安區,0,298,0.40
14173,2021-08-20,2021-08-21,台北市,大安區,0,298,0.40
14421,2021-08-19,2021-08-20,台北市,大安區,2,298,0.40
14669,2021-08-18,2021-08-19,台北市,大安區,0,296,0.10
14917,2021-08-17,2021-08-18,台北市,大安區,1,296,0.10
15165,2021-08-16,2021-08-17,台北市,大安區,0,295,0.00
15413,2021-08-15,2021-08-16,台北市,大安區,0,295,0.00
15661,2021-08-14,2021-08-15,台北市,大安區,0,295,0.10
15909,2021-08-13,2021-08-14,台北市,大安區,0,295,0.10
