id,個案研判日,個案公布日,縣市,區域,新增確診人數,累計確診人數,七天移動平均新增確診
35,2021-10-16,2021-10-17,台北市,文山區,0,377,0.00
283,2021-10-15,2021-10-16,台北市,文山區,0,377,0.00
531,2021-10-14,2021-10-15,台北市,文山區,0,377,0.00
779,2021-10-13,2021-10-14,台北市,文山區,0,377,0.00
1027,2021-10-12,2021-10-13,台北市,文山區,0,377,0.00
1275,2021-10-11,2021-10-12,台北市,文山區,0,377,0.00
1523,2021-10-10,2021-10-11,台北市,文山區,0,377,0.00
1771,2021-10-09,2021-10-10,台北市,文山區,0,377,0.00
2019,2021-10-08,2021-10-09,台北市,文山區,0,377,0.00
2267,2021-10-07,2021-10-08,台北市,文山區,0,377,0.00
2515,2021-10-06,2021-10-07,台北市,文山區,0,377,0.00
2763,2021-10-05,2021-10-06,台北市,文山區,0,377,0.00
3011,2021-10-04,2021-10-05,台北市,文山區,0,377,0.00
3259,2021-10-03,2021-10-04,台北市,文山區,0,377,0.00
3507,2021-10-02,2021-10-03,台北市,文山區,0,377,0.00
3755,2021-10-01,2021-10-02,台北市,文山區,0,377,0.00
4003,2021-09-30,2021-10-01,台北市,文山區,0,377,0.00
4251,2021-09-29,2021-09-30,台北市,文山區,0,377,0.00
4499,2021-09-28,2021-09-29,台北市,文山區,0,377,0.00
4747,2021-09-27,2021-09-28,台北市,文山區,0,377,0.00
4995,2021-09-26,2021-09-27,台北市,文山區,0,377,0.00
5243,2021-09-25,2021-09-26,台北市,文山區,0,377,0.00
5491,2021-09-24,2021-09-25,台北市,文山區,0,377,0.00
5739,2021-09-23,2021-09-24,台北市,文山區,0,377,0.00
5987,2021-09-22,2021-09-23,台北市,文山區,0,377,0.00
6235,2021-09-21,2021-09-22,台北市,文山區,0,377,0.00
6483,2021-09-20,2021-09-21,台北市,文山區,0,377,0.00
6731,2021-09-19,2021-09-20,台北市,文山區,0,377,0.00
6979,2021-09-18,2021-09-19,台北市,文山區,0,377,0.00
7227,2021-09-17,2021-09-18,台北市,文山區,0,377,0.00
7475,2021-09-16,2021-09-17,台北市,文山區,0,377,0.00
7723,2021-09-15,2021-09-16,台北市,文山區,0,377,0.00
7971,2021-09-14,2021-09-15,台北市,文山區,0,377,0.30
8219,2021-09-13,2021-09-14,台北市,文山區,0,377,0.30
8467,2021-09-12,2021-09-13,台北市,文山區,0,377,0.30
8715,2021-09-11,2021-09-12,台北市,文山區,0,377,0.30
8963,2021-09-10,2021-09-11,台北市,文山區,0,377,0.30
9211,2021-09-09,2021-09-10,台北市,文山區,0,377,0.30
9459,2021-09-08,2021-09-09,台北市,文山區,2,377,0.30
9707,2021-09-07,2021-09-08,台北市,文山區,0,375,0.00
