id,個案研判日,個案公布日,縣市,區域,新增確診人數,累計確診人數,七天移動平均新增確診
43,2021-10-16,2021-10-17,台北市,松山區,0,180,0.00
291,2021-10-15,2021-10-16,台北市,松山區,0,180,0.00
539,2021-10-14,2021-10-15,台北市,松山區,0,180,0.00
787,2021-10-13,2021-10-14,台北市,松山區,0,180,0.00
1035,2021-10-12,2021-10-13,台北市,松山區,0,180,0.00
1283,2021-10-11,2021-10-12,台北市,松山區,0,180,0.00
1531,2021-10-10,2021-10-11,台北市,松山區,0,180,0.00
1779,2021-10-09,2021-10-10,台北市,松山區,0,180,0.00
2027,2021-10-08,2021-10-09,台北市,松山區,0,180,0.00
2275,2021-10-07,2021-10-08,台北市,松山區,0,180,0.00
2523,2021-10-06,2021-10-07,台北市,松山區,0,180,0.00
2771,2021-10-05,2021-10-06,台北市,松山區,0,180,0.00
3019,2021-10-04,2021-10-05,台北市,松山區,0,180,0.00
3267,2021-10-03,2021-10-04,台北市,松山區,0,180,0.00
3515,2021-10-02,2021-10-03,台北市,松山區,0,180,0.00
3763,2021-10-01,2021-10-02,台北市,松山區,0,180,0.00
4011,2021-09-30,2021-10-01,台北市,松山區,0,180,0.00
4259,2021-09-29,2021-09-30,台北市,松山區,0,180,0.00
4507,2021-09-28,2021-09-29,台北市,松山區,0,180,0.00
4755,2021-09-27,2021-09-28,台北市,松山區,0,180,0.00
5003,2021-09-26,2021-09-27,台北市,松山區,0,180,0.00
5251,2021-09-25,2021-09-26,台北市,松山區,0,180,0.00
5499,2021-09-24,2021-09-25,台北市,松山區,0,180,0.00
5747,2021-09-23,2021-09-24,台北市,松山區,0,180,0.00
5995,2021-09-22,2021-09-23,台北市,松山區,0,180,0.00
6243,2021-09-21,2021-09-22,台北市,松山區,0,180,0.00
6491,2021-09-20,2021-09-21,台北市,松山區,0,180,0.00
6739,2021-09-19,2021-09-20,台北市,松山區,0,180,0.00
6987,2021-09-18,2021-09-19,台北市,松山區,0,180,0.00
7235,2021-09-17,2021-09-18,台北市,松山區,0,180,0.00
7483,2021-09-16,2021-09-17,台北市,松山區,0,180,0.00
7731,2021-09-15,2021-09-16,台北市,松山區,0,180,0.00
7979,2021-09-14,2021-09-15,台北市,松山區,0,180,0.00
8227,2021-09-13,2021-09-14,台北市,松山區,0,180,0.00
8475,2021-09-12,2021-09-13,台北市,松山區,0,180,0.00
8723,2021-09-11,2021-09-12,台北市,松山區,0,180,0.00
8971,2021-09-10,2021-09-11,台北市,松山區,0,180,0.00
9219,2021-09-09,2021-09-10,台北市,松山區,0,180,0.00
9467,2021-09-08,2021-09-09,台北市,松山區,0,180,0.00
9715,2021-09-07,2021-09-08,台北市,松山區,0,180,0.00
9963,2021-09-06,2021-09-07,台北市,松山區,0,180,0.00
10211,2021-09-05,2021-09-06,台北市,松山區,0,180,0.00
10459,2021-09-04,2021-09-05,台北市,松山區,0,180,0.00
10707,2021-09-03,2021-09-04,台北市,松山區,0,180,0.00
10955,2021-09-02,2021-09-03,台北市,松山區,0,180,0.00
11203,2021-09-01,2021-09-02,台北市,松山區,0,180,0.00
11451,2021-08-31,2021-09-01,台北市,松山區,0,180,0.00
11699,2021-08-30,2021-08-31,台北市,松山區,0,180,0.00
11947,2021-08-29,2021-08-30,台北市,松山區,0,180,0.00
12195,2021-08-28,2021-08-29,台北市,松山區,0,180,0.00
12443,2021-08-27,2021-08-28,台北市,松山區,0,180,0.00
12691,2021-08-26,2021-08-27,台北市,松山區,0,180,0.00
12939,2021-08-25,2021-08-26,台北市,松山區,0,180,0.00
13187,2021-08-24,2021-08-25,台北市,松山區,0,180,0.00
13435,2021-08-23,2021-08-24,台北市,松山區,0,180,0.00
13683,2021-08-22,2021-08-23,台北市,松山區,0,180,0.00
13931,2021-08-21,2021-08-22,台北市,松山區,0,180,0.00
14179,2021-08-20,2021-08-21,台北市,松山區,0,180,0.00
14427,2021-08-19,2021-08-20,台北市,松山區,0,180,0.00
14675,2021-08-18,2021-08-19,台北市,松山區,0,180,0.00
14923,2021-08-17,2021-08-18,台北市,松山區,0,180,0.00
15171,2021-08-16,2021-08-17,台北市,松山區,0,180,0.00
15419,2021-08-15,2021-08-16,台北市,松山區,0,180,0.00
15667,2021-08-14,2021-08-15,台北市,松山區,0,180,0.00
15915,2021-08-13,2021-08-14,台北市,松山區,0,180,0.00
16163,2021-08-12,2021-08-13,台北市,松山區,0,180,0.00
16411,2021-08-11,2021-08-12,台北市,松山區,0,180,0.10
16659,2021-08-10,2021-08-11,台北市,松山區,0,180,0.10
16907,2021-08-09,2021-08-10,台北市,松山區,0,180,0.10
17155,2021-08-08,2021-08-09,台北市,松山區,0,180,0.10
17403,2021-08-07,2021-08-08,台北市,松山區,0,180,0.10
17651,2021-08-06,2021-08-07,台北市,松山區,0,180,0.10
17899,2021-08-05,2021-08-06,台北市,松山區,1,180,0.40
18147,2021-08-04,2021-08-05,台北市,松山區,0,179,0.30
18395,2021-08-03,2021-08-04,台北市,松山區,0,179,0.40
18642,2021-08-02,2021-08-03,台北市,松山區,0,179,0.40
18890,2021-08-01,2021-08-02,台北市,松山區,0,179,0.40
19138,2021-07-31,2021-08-01,台北市,松山區,0,179,0.40
19386,2021-07-30,2021-07-31,台北市,松山區,2,179,0.40
19634,2021-07-29,2021-07-30,台北市,松山區,0,177,0.10
19882,2021-07-28,2021-07-29,台北市,松山區,1,177,0.10
20130,2021-07-27,2021-07-28,台北市,松山區,0,176,0.00
20378,2021-07-26,2021-07-27,台北市,松山區,0,176,0.00
20626,2021-07-25,2021-07-26,台北市,松山區,0,176,0.00
20874,2021-07-24,2021-07-25,台北市,松山區,0,176,0.00
21122,2021-07-23,2021-07-24,台北市,松山區,0,176,0.10
21370,2021-07-22,2021-07-23,台北市,松山區,0,176,0.10
21618,2021-07-21,2021-07-21,台北市,松山區,0,176,0.10
21866,2021-07-20,2021-07-20,台北市,松山區,0,176,0.10
22114,2021-07-19,2021-07-19,台北市,松山區,0,176,0.10
22362,2021-07-18,2021-07-18,台北市,松山區,1,176,0.10
22610,2021-07-17,2021-07-17,台北市,松山區,0,175,0.10
22858,2021-07-16,2021-07-16,台北市,松山區,0,175,0.30
23106,2021-07-15,2021-07-15,台北市,松山區,0,175,0.30
23354,2021-07-14,2021-07-14,台北市,松山區,0,175,0.40
23602,2021-07-13,2021-07-13,台北市,松山區,0,175,0.40
23850,2021-07-12,2021-07-12,台北市,松山區,0,175,0.40
24098,2021-07-11,2021-07-11,台北市,松山區,1,175,0.70
24346,2021-07-10,2021-07-10,台北市,松山區,1,174,0.60
24594,2021-07-09,2021-07-09,台北市,松山區,0,173,0.40
24842,2021-07-08,2021-07-08,台北市,松山區,1,173,0.40
25090,2021-07-07,2021-07-07,台北市,松山區,0,172,0.70
25338,2021-07-06,2021-07-06,台北市,松山區,0,172,0.90
25586,2021-07-05,2021-07-05,台北市,松山區,2,172,0.90
25834,2021-07-04,2021-07-04,台北市,松山區,0,170,0.60
26082,2021-07-03,2021-07-03,台北市,松山區,0,170,0.90
26330,2021-07-02,2021-07-02,台北市,松山區,0,170,1.30
26578,2021-07-01,2021-07-01,台北市,松山區,3,170,1.60
26826,2021-06-30,2021-06-30,台北市,松山區,1,167,1.40
27074,2021-06-29,2021-06-29,台北市,松山區,0,166,1.30
27322,2021-06-28,2021-06-28,台北市,松山區,0,166,1.30
27570,2021-06-27,2021-06-27,台北市,松山區,2,166,1.30
27818,2021-06-26,2021-06-26,台北市,松山區,3,164,1.40
28066,2021-06-25,2021-06-25,台北市,松山區,2,161,1.00
28314,2021-06-24,2021-06-24,台北市,松山區,2,159,1.00
28562,2021-06-23,2021-06-23,台北市,松山區,0,157,1.30
28810,2021-06-22,2021-06-22,台北市,松山區,0,157,1.40
29058,2021-06-21,2021-06-21,台北市,松山區,0,157,1.60
29306,2021-06-20,2021-06-20,台北市,松山區,3,157,1.60
29554,2021-06-19,2021-06-19,台北市,松山區,0,154,1.30
29802,2021-06-18,2021-06-18,台北市,松山區,2,154,2.00
30050,2021-06-17,2021-06-17,台北市,松山區,4,152,2.90
30299,2021-06-16,2021-06-16,台北市,松山區,1,148,2.70
30547,2021-06-15,2021-06-15,台北市,松山區,1,147,2.70
30795,2021-06-14,2021-06-14,台北市,松山區,0,146,2.70
31043,2021-06-13,2021-06-13,台北市,松山區,1,146,3.00
31291,2021-06-12,2021-06-12,台北市,松山區,5,145,3.30
31539,2021-06-11,2021-06-11,台北市,松山區,8,140,3.40
31787,2021-06-10,2021-06-10,台北市,松山區,3,132,2.70
32035,2021-06-09,2021-06-09,台北市,松山區,1,129,3.90
32283,2021-06-08,2021-06-08,台北市,松山區,1,128,4.10
32531,2021-06-07,2021-06-07,台北市,松山區,2,127,4.40
32779,2021-06-06,2021-06-06,台北市,松山區,3,125,5.30
33027,2021-06-05,2021-06-05,台北市,松山區,6,122,5.30
33275,2021-06-04,2021-06-04,台北市,松山區,3,116,5.90
33523,2021-06-03,2021-06-03,台北市,松山區,11,113,6.60
33771,2021-06-02,2021-06-02,台北市,松山區,3,102,6.10
34018,2021-06-01,2021-06-01,台北市,松山區,3,99,7.00
34266,2021-05-31,2021-05-31,台北市,松山區,8,96,7.10
34514,2021-05-30,2021-05-30,台北市,松山區,3,88,7.70
34762,2021-05-29,2021-05-29,台北市,松山區,10,85,7.70
35010,2021-05-28,2021-05-28,台北市,松山區,8,75,7.70
35258,2021-05-27,2021-05-27,台北市,松山區,8,67,6.70
35506,2021-05-26,2021-05-26,台北市,松山區,9,59,5.90
35754,2021-05-25,2021-05-25,台北市,松山區,4,50,5.10
36002,2021-05-24,2021-05-24,台北市,松山區,12,46,5.00
36250,2021-05-23,2021-05-23,台北市,松山區,3,34,4.10
36498,2021-05-22,2021-05-22,台北市,松山區,10,31,3.70
36747,2021-05-21,2021-05-21,台北市,松山區,1,21,3.00
36992,2021-05-20,2021-05-20,台北市,松山區,2,20,2.90
37239,2021-05-19,2021-05-19,台北市,松山區,4,18,2.60
37488,2021-05-18,2021-05-18,台北市,松山區,3,14,2.00
37737,2021-05-17,2021-05-17,台北市,松山區,6,11,1.60
37986,2021-05-16,2021-05-16,台北市,松山區,0,5,0.70
38232,2021-05-15,2021-05-15,台北市,松山區,5,5,0.70
38484,2021-05-14,2021-05-14,台北市,松山區,0,0,0.00
38732,2021-05-13,2021-05-13,台北市,松山區,0,0,0.00
38980,2021-05-12,2021-05-12,台北市,松山區,0,0,0.00
39228,2021-05-11,2021-05-11,台北市,松山區,0,0,0.00
39476,2021-05-10,2021-05-10,台北市,松山區,0,0,0.00
39724,2021-05-09,2021-05-09,台北市,松山區,0,0,0.00
39972,2021-05-08,2021-05-08,台北市,松山區,0,0,0.00
40220,2021-05-07,2021-05-07,台北市,松山區,0,0,0.00
40468,2021-05-06,2021-05-06,台北市,松山區,0,0,0.00
40716,2021-05-05,2021-05-05,台北市,松山區,0,0,0.00
40964,2021-05-04,2021-05-04,台北市,松山區,0,0,0.00
41212,2021-05-03,2021-05-03,台北市,松山區,0,0,0.00
41460,2021-05-02,2021-05-02,台北市,松山區,0,0,0.00
41708,2021-05-01,2021-05-01,台北市,松山區,0,0,0.00
