id,個案研判日,個案公布日,縣市,區域,新增確診人數,累計確診人數,七天移動平均新增確診
33,2021-10-16,2021-10-17,台北市,萬華區,0,1879,0.00
281,2021-10-15,2021-10-16,台北市,萬華區,0,1879,0.00
529,2021-10-14,2021-10-15,台北市,萬華區,0,1879,0.10
777,2021-10-13,2021-10-14,台北市,萬華區,0,1879,0.10
1025,2021-10-12,2021-10-13,台北市,萬華區,0,1879,0.10
1273,2021-10-11,2021-10-12,台北市,萬華區,0,1879,0.10
1521,2021-10-10,2021-10-11,台北市,萬華區,0,1879,0.10
1769,2021-10-09,2021-10-10,台北市,萬華區,0,1879,0.10
2017,2021-10-08,2021-10-09,台北市,萬華區,1,1879,0.10
2265,2021-10-07,2021-10-08,台北市,萬華區,0,1878,0.00
2513,2021-10-06,2021-10-07,台北市,萬華區,0,1878,0.00
2761,2021-10-05,2021-10-06,台北市,萬華區,0,1878,0.00
3009,2021-10-04,2021-10-05,台北市,萬華區,0,1878,0.00
3257,2021-10-03,2021-10-04,台北市,萬華區,0,1878,0.00
3505,2021-10-02,2021-10-03,台北市,萬華區,0,1878,0.00
3753,2021-10-01,2021-10-02,台北市,萬華區,0,1878,0.00
4001,2021-09-30,2021-10-01,台北市,萬華區,0,1878,0.00
4249,2021-09-29,2021-09-30,台北市,萬華區,0,1878,0.00
4497,2021-09-28,2021-09-29,台北市,萬華區,0,1878,0.00
4745,2021-09-27,2021-09-28,台北市,萬華區,0,1878,0.00
4993,2021-09-26,2021-09-27,台北市,萬華區,0,1878,0.00
5241,2021-09-25,2021-09-26,台北市,萬華區,0,1878,0.00
5489,2021-09-24,2021-09-25,台北市,萬華區,0,1878,0.10
5737,2021-09-23,2021-09-24,台北市,萬華區,0,1878,0.10
5985,2021-09-22,2021-09-23,台北市,萬華區,0,1878,0.30
6233,2021-09-21,2021-09-22,台北市,萬華區,0,1878,0.30
6481,2021-09-20,2021-09-21,台北市,萬華區,0,1878,0.30
6729,2021-09-19,2021-09-20,台北市,萬華區,0,1878,0.30
6977,2021-09-18,2021-09-19,台北市,萬華區,1,1878,0.30
7225,2021-09-17,2021-09-18,台北市,萬華區,0,1877,0.30
7473,2021-09-16,2021-09-17,台北市,萬華區,1,1877,0.30
7721,2021-09-15,2021-09-16,台北市,萬華區,0,1876,0.10
7969,2021-09-14,2021-09-15,台北市,萬華區,0,1876,0.10
8217,2021-09-13,2021-09-14,台北市,萬華區,0,1876,0.10
8465,2021-09-12,2021-09-13,台北市,萬華區,0,1876,0.10
8713,2021-09-11,2021-09-12,台北市,萬華區,1,1876,0.10
8961,2021-09-10,2021-09-11,台北市,萬華區,0,1875,0.00
9209,2021-09-09,2021-09-10,台北市,萬華區,0,1875,0.00
9457,2021-09-08,2021-09-09,台北市,萬華區,0,1875,0.00
9705,2021-09-07,2021-09-08,台北市,萬華區,0,1875,0.00
9953,2021-09-06,2021-09-07,台北市,萬華區,0,1875,0.00
10201,2021-09-05,2021-09-06,台北市,萬華區,0,1875,0.00
10449,2021-09-04,2021-09-05,台北市,萬華區,0,1875,0.00
10697,2021-09-03,2021-09-04,台北市,萬華區,0,1875,0.00
10945,2021-09-02,2021-09-03,台北市,萬華區,0,1875,0.00
11193,2021-09-01,2021-09-02,台北市,萬華區,0,1875,0.00
11441,2021-08-31,2021-09-01,台北市,萬華區,0,1875,0.00
11689,2021-08-30,2021-08-31,台北市,萬華區,0,1875,0.00
11937,2021-08-29,2021-08-30,台北市,萬華區,0,1875,0.00
12185,2021-08-28,2021-08-29,台北市,萬華區,0,1875,0.00
12433,2021-08-27,2021-08-28,台北市,萬華區,0,1875,0.10
12681,2021-08-26,2021-08-27,台北市,萬華區,0,1875,0.10
12929,2021-08-25,2021-08-26,台北市,萬華區,0,1875,0.10
13177,2021-08-24,2021-08-25,台北市,萬華區,0,1875,0.10
13425,2021-08-23,2021-08-24,台北市,萬華區,0,1875,0.10
13673,2021-08-22,2021-08-23,台北市,萬華區,0,1875,0.30
13921,2021-08-21,2021-08-22,台北市,萬華區,1,1875,0.30
14169,2021-08-20,2021-08-21,台北市,萬華區,0,1874,0.30
14417,2021-08-19,2021-08-20,台北市,萬華區,0,1874,0.30
14665,2021-08-18,2021-08-19,台北市,萬華區,0,1874,0.30
14913,2021-08-17,2021-08-18,台北市,萬華區,0,1874,0.30
15161,2021-08-16,2021-08-17,台北市,萬華區,1,1874,0.60
15409,2021-08-15,2021-08-16,台北市,萬華區,0,1873,0.40
15657,2021-08-14,2021-08-15,台北市,萬華區,1,1873,0.40
15905,2021-08-13,2021-08-14,台北市,萬華區,0,1872,0.30
16153,2021-08-12,2021-08-13,台北市,萬華區,0,1872,0.30
16401,2021-08-11,2021-08-12,台北市,萬華區,0,1872,0.30
16649,2021-08-10,2021-08-11,台北市,萬華區,2,1872,0.40
16897,2021-08-09,2021-08-10,台北市,萬華區,0,1870,0.30
17145,2021-08-08,2021-08-09,台北市,萬華區,0,1870,0.60
17393,2021-08-07,2021-08-08,台北市,萬華區,0,1870,0.60
17641,2021-08-06,2021-08-07,台北市,萬華區,0,1870,0.60
17889,2021-08-05,2021-08-06,台北市,萬華區,0,1870,0.60
18137,2021-08-04,2021-08-05,台北市,萬華區,1,1870,1.00
18385,2021-08-03,2021-08-04,台北市,萬華區,1,1869,1.00
18633,2021-08-02,2021-08-03,台北市,萬華區,2,1868,1.10
18881,2021-08-01,2021-08-02,台北市,萬華區,0,1866,0.90
19129,2021-07-31,2021-08-01,台北市,萬華區,0,1866,1.00
19377,2021-07-30,2021-07-31,台北市,萬華區,0,1866,1.30
19625,2021-07-29,2021-07-30,台北市,萬華區,3,1866,1.60
19873,2021-07-28,2021-07-29,台北市,萬華區,1,1863,1.10
20121,2021-07-27,2021-07-28,台北市,萬華區,2,1862,1.00
20369,2021-07-26,2021-07-27,台北市,萬華區,0,1860,1.70
20617,2021-07-25,2021-07-26,台北市,萬華區,1,1860,2.00
20865,2021-07-24,2021-07-25,台北市,萬華區,2,1859,1.90
21113,2021-07-23,2021-07-24,台北市,萬華區,2,1857,1.60
21361,2021-07-22,2021-07-23,台北市,萬華區,0,1855,1.30
21609,2021-07-21,2021-07-21,台北市,萬華區,7,1855,2.70
21857,2021-07-20,2021-07-20,台北市,萬華區,2,1848,2.30
22105,2021-07-19,2021-07-19,台北市,萬華區,0,1846,2.30
22353,2021-07-18,2021-07-18,台北市,萬華區,0,1846,2.40
22601,2021-07-17,2021-07-17,台北市,萬華區,0,1846,3.30
22849,2021-07-16,2021-07-16,台北市,萬華區,4,1846,4.10
23097,2021-07-15,2021-07-15,台北市,萬華區,6,1842,5.10
23345,2021-07-14,2021-07-14,台北市,萬華區,4,1836,4.40
23593,2021-07-13,2021-07-13,台北市,萬華區,2,1832,4.90
23841,2021-07-12,2021-07-12,台北市,萬華區,1,1830,5.10
24089,2021-07-11,2021-07-11,台北市,萬華區,6,1829,5.70
24337,2021-07-10,2021-07-10,台北市,萬華區,6,1823,4.90
24585,2021-07-09,2021-07-09,台北市,萬華區,11,1817,8.30
24833,2021-07-08,2021-07-08,台北市,萬華區,1,1806,8.00
25081,2021-07-07,2021-07-07,台北市,萬華區,7,1805,8.40
25329,2021-07-06,2021-07-06,台北市,萬華區,4,1798,7.70
25577,2021-07-05,2021-07-05,台北市,萬華區,5,1794,7.10
25825,2021-07-04,2021-07-04,台北市,萬華區,0,1789,6.90
26073,2021-07-03,2021-07-03,台北市,萬華區,30,1789,8.00
26321,2021-07-02,2021-07-02,台北市,萬華區,9,1759,5.90
26569,2021-07-01,2021-07-01,台北市,萬華區,4,1750,5.70
26817,2021-06-30,2021-06-30,台北市,萬華區,2,1746,7.30
27065,2021-06-29,2021-06-29,台北市,萬華區,0,1744,8.30
27313,2021-06-28,2021-06-28,台北市,萬華區,3,1744,8.90
27561,2021-06-27,2021-06-27,台北市,萬華區,8,1741,8.70
27809,2021-06-26,2021-06-26,台北市,萬華區,15,1733,8.60
28057,2021-06-25,2021-06-25,台北市,萬華區,8,1718,7.90
28305,2021-06-24,2021-06-24,台北市,萬華區,15,1710,8.10
28553,2021-06-23,2021-06-23,台北市,萬華區,9,1695,6.90
28801,2021-06-22,2021-06-22,台北市,萬華區,4,1686,8.00
29049,2021-06-21,2021-06-21,台北市,萬華區,2,1682,8.30
29297,2021-06-20,2021-06-20,台北市,萬華區,7,1680,9.10
29545,2021-06-19,2021-06-19,台北市,萬華區,10,1673,10.10
29793,2021-06-18,2021-06-18,台北市,萬華區,10,1663,11.40
30041,2021-06-17,2021-06-17,台北市,萬華區,6,1653,11.30
30289,2021-06-16,2021-06-16,台北市,萬華區,17,1647,12.70
30537,2021-06-15,2021-06-15,台北市,萬華區,6,1630,13.00
30785,2021-06-14,2021-06-14,台北市,萬華區,8,1624,13.40
31033,2021-06-13,2021-06-13,台北市,萬華區,14,1616,14.10
31281,2021-06-12,2021-06-12,台北市,萬華區,19,1602,14.40
31529,2021-06-11,2021-06-11,台北市,萬華區,9,1583,18.60
31777,2021-06-10,2021-06-10,台北市,萬華區,16,1574,23.00
32025,2021-06-09,2021-06-09,台北市,萬華區,19,1558,32.90
32273,2021-06-08,2021-06-08,台北市,萬華區,9,1539,36.10
32521,2021-06-07,2021-06-07,台北市,萬華區,13,1530,37.90
32769,2021-06-06,2021-06-06,台北市,萬華區,16,1517,41.10
33017,2021-06-05,2021-06-05,台北市,萬華區,48,1501,41.70
33265,2021-06-04,2021-06-04,台北市,萬華區,40,1453,41.30
33513,2021-06-03,2021-06-03,台北市,萬華區,85,1413,48.10
33761,2021-06-02,2021-06-02,台北市,萬華區,42,1328,47.30
34009,2021-06-01,2021-06-01,台北市,萬華區,21,1286,58.40
34257,2021-05-31,2021-05-31,台北市,萬華區,36,1265,69.60
34505,2021-05-30,2021-05-30,台北市,萬華區,20,1229,81.10
34753,2021-05-29,2021-05-29,台北市,萬華區,45,1209,90.70
35001,2021-05-28,2021-05-28,台北市,萬華區,88,1164,108.60
35249,2021-05-27,2021-05-27,台北市,萬華區,79,1076,104.40
35497,2021-05-26,2021-05-26,台北市,萬華區,120,997,98.70
35745,2021-05-25,2021-05-25,台北市,萬華區,99,877,86.40
35993,2021-05-24,2021-05-24,台北市,萬華區,117,778,79.40
36241,2021-05-23,2021-05-23,台北市,萬華區,87,661,76.40
36489,2021-05-22,2021-05-22,台北市,萬華區,170,574,73.30
36737,2021-05-21,2021-05-21,台北市,萬華區,59,404,56.90
