日期,國家,城市,項目,次數,min,max,median,variance
2021-01-10,TW,Taipei,wind-gust,207,0.2,21.0,11.2,264.43
2021-01-14,TW,Taipei,wind-gust,186,0.2,20.0,11.6,249.22
2021-04-11,TW,Taipei,wind-gust,192,0.2,19.5,4.0,184.93
2021-09-15,TW,Taipei,wind-gust,213,0.2,14.7,8.0,122.02
2021-03-10,TW,Taipei,wind-gust,228,0.2,26.7,13.5,664.69
2021-07-23,TW,Taipei,wind-gust,328,0.2,23.7,11.8,326.71
2021-07-30,TW,Taipei,wind-gust,184,0.2,18.5,6.2,189.89
2021-09-10,TW,Taipei,wind-gust,233,0.3,29.0,13.7,581.23
2021-09-26,TW,Taipei,wind-gust,225,0.2,22.7,12.0,405.17
2021-02-03,TW,Taipei,wind-gust,198,0.2,28.7,15.5,717.14
2021-02-15,TW,Taipei,wind-gust,286,0.2,26.5,11.8,515.55
2021-04-03,TW,Taipei,wind-gust,190,0.2,14.7,6.7,121.26
2021-06-21,TW,Taipei,wind-gust,204,0.2,35.0,14.2,635.56
2021-07-03,TW,Taipei,wind-gust,184,0.2,15.2,6.7,199.79
2021-08-11,TW,Taipei,wind-gust,132,0.2,15.7,7.7,202.63
2021-08-27,TW,Taipei,wind-gust,200,0.2,13.0,6.2,148.32
2021-01-09,TW,Taipei,wind-gust,194,0.3,16.0,8.7,97.95
2021-01-22,TW,Taipei,wind-gust,208,0.2,21.3,10.8,303.76
2021-05-15,TW,Taipei,wind-gust,184,0.2,15.2,5.0,198.41
2021-05-21,TW,Taipei,wind-gust,212,0.2,21.7,8.6,383.27
2021-08-16,TW,Taipei,wind-gust,184,0.2,16.4,5.0,176.29
2021-07-27,TW,Taipei,wind-gust,188,0.2,16.2,7.2,176.20
2021-02-23,TW,Taipei,wind-gust,198,0.2,22.5,9.0,486.71
2021-03-20,TW,Taipei,wind-gust,220,0.2,12.2,6.3,128.04
2021-04-15,TW,Taipei,wind-gust,204,0.2,22.1,8.7,370.05
2021-07-14,TW,Taipei,wind-gust,198,0.2,27.0,8.6,517.50
2021-09-06,TW,Taipei,wind-gust,202,0.2,19.5,5.8,269.92
2021-02-04,TW,Taipei,wind-gust,220,0.2,24.4,12.8,545.43
