Name: Ozone Hole Area
Units: Million km!U2!N
Source: toms+omi+omps
Missing: -9999.0
Climatology: 1979 to 2020
Date            Data   Minimum     10%     30%    Mean     70%     90% Maximum
2021-01-01      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.00
2021-01-02      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.00
2021-01-03      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.03
2021-01-04      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.00
2021-01-05      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.00
2021-01-06      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.00
2021-01-07      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.00
2021-01-08      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.00
2021-01-09      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.00
2021-01-10      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.00
2021-01-11      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.00
2021-01-12      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.01
2021-01-13      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.00
2021-01-14      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.00
2021-01-15      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.01
2021-01-16      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.01
2021-01-17      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.00
2021-01-18      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.01
2021-01-19      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.00
2021-01-20      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.04
2021-01-21      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.00
2021-01-22      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.01
2021-01-23      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.00
2021-01-24      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.00
2021-01-25      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.00
2021-01-26      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.01
2021-01-27      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.00
2021-01-28      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.00
2021-01-29      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.00
2021-01-30      0.36      0.00    0.00    0.00    0.00    0.00    0.00    0.00
2021-01-31      0.24      0.00    0.00    0.00    0.00    0.00    0.00    0.01
2021-02-01      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.09
2021-02-02      0.13      0.00    0.00    0.00    0.00    0.00    0.00    0.06
2021-02-03      0.61      0.00    0.00    0.00    0.00    0.00    0.00    0.02
2021-02-04      0.03      0.00    0.00    0.00    0.00    0.00    0.00    0.11
2021-02-05      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.18
2021-02-06      0.00      0.00    0.00    0.00    0.00    0.00    0.00    0.11
2021-02-07      0.00      0.00    0.00    0.00    0.02    0.00    0.00    0.72
2021-02-08      0.00      0.00    0.00    0.00    0.03    0.00    0.00    1.07
2021-02-09      0.00      0.00    0.00    0.00    0.02    0.00    0.01    0.63
2021-02-10      0.03      0.00    0.00    0.00    0.01    0.00    0.00    0.24
2021-02-11      0.59      0.00    0.00    0.00    0.01    0.00    0.00    0.18
2021-02-12      0.00      0.00    0.00    0.00    0.01    0.00    0.00    0.38
2021-02-13      0.00      0.00    0.00    0.00    0.02    0.00    0.00    0.53
2021-02-14      0.00      0.00    0.00    0.00    0.02    0.00    0.00    0.60
2021-02-15      0.00      0.00    0.00    0.00    0.01    0.00    0.00    0.48
2021-02-16      0.00      0.00    0.00    0.00    0.02    0.00    0.00    0.95
2021-02-17      0.00      0.00    0.00    0.00    0.05    0.00    0.01    1.41
2021-02-18      0.00      0.00    0.00    0.00    0.02    0.00    0.00    0.37
2021-02-19      0.00      0.00    0.00    0.00    0.01    0.00    0.00    0.29
2021-02-20      0.00      0.00    0.00    0.00    0.03    0.00    0.02    0.40
2021-02-21      0.00      0.00    0.00    0.00    0.05    0.00    0.12    0.90
2021-02-22      0.00      0.00    0.00    0.00    0.03    0.00    0.12    0.30
2021-02-23      0.00      0.00    0.00    0.00    0.04    0.00    0.15    0.64
2021-02-24      0.00      0.00    0.00    0.00    0.06    0.00    0.10    0.73
2021-02-25      0.03      0.00    0.00    0.00    0.08    0.00    0.34    1.22
2021-02-26      0.00      0.00    0.00    0.00    0.06    0.00    0.15    0.83
2021-02-27      0.00      0.00    0.00    0.00    0.06    0.00    0.21    0.99
2021-02-28      0.00      0.00    0.00    0.00    0.07    0.00    0.27    0.67
2021-03-01      0.00      0.00    0.00    0.00    0.04    0.00    0.13    0.53
2021-03-02      0.00      0.00    0.00    0.00    0.02    0.00    0.10    0.26
2021-03-03      0.00      0.00    0.00    0.00    0.06    0.01    0.22    0.57
2021-03-04      0.00      0.00    0.00    0.00    0.15    0.00    0.34    2.99
2021-03-05      0.00      0.00    0.00    0.00    0.14    0.00    0.11    3.26
2021-03-06      0.00      0.00    0.00    0.00    0.13    0.03    0.38    1.13
2021-03-07      0.07      0.00    0.00    0.00    0.10    0.02    0.28    1.88
2021-03-08      0.00      0.00    0.00    0.00    0.07    0.01    0.18    1.25
2021-03-09      0.54      0.00    0.00    0.00    0.05    0.00    0.25    0.53
2021-03-10      0.85      0.00    0.00    0.00    0.07    0.00    0.20    1.04
2021-03-11      0.00      0.00    0.00    0.00    0.11    0.02    0.34    1.64
2021-03-12      0.00      0.00    0.00    0.00    0.13    0.02    0.34    1.46
2021-03-13      0.00      0.00    0.00    0.00    0.14    0.05    0.52    1.02
2021-03-14      0.00      0.00    0.00    0.00    0.13    0.09    0.53    0.99
2021-03-15      0.00      0.00    0.00    0.00    0.17    0.13    0.33    2.27
2021-03-16      0.00      0.00    0.00    0.00    0.23    0.14    0.66    2.06
2021-03-17      0.00      0.00    0.00    0.00    0.25    0.11    0.68    2.64
2021-03-18      0.64      0.00    0.00    0.00    0.29    0.23    0.69    3.00
2021-03-19      1.02      0.00    0.00    0.00    0.23    0.28    0.74    1.26
2021-03-20      0.09      0.00    0.00    0.00    0.22    0.28    0.60    1.22
2021-03-21      0.17      0.00    0.00    0.00    0.21    0.22    0.53    1.39
2021-03-22      0.00      0.00    0.00    0.00    0.23    0.16    0.83    1.56
2021-03-23      0.00      0.00    0.00    0.00    0.31    0.19    1.38    2.33
2021-03-24      0.00      0.00    0.00    0.00    0.25    0.09    0.92    2.53
2021-03-25      0.09      0.00    0.00    0.00    0.21    0.15    0.73    1.45
2021-03-26      0.98      0.00    0.00    0.00    0.19    0.14    0.58    2.02
2021-03-27      0.43      0.00    0.00    0.00    0.27    0.22    0.98    1.88
2021-03-28      0.01      0.00    0.00    0.00    0.23    0.20    0.60    1.58
2021-03-29      0.00      0.00    0.00    0.00    0.20    0.11    0.64    1.54
2021-03-30      0.00      0.00    0.00    0.00    0.23    0.16    0.79    1.69
2021-03-31      0.00      0.00    0.00    0.00    0.26    0.21    0.66    2.48
2021-04-01      0.00      0.00    0.00    0.00    0.24    0.16    0.83    2.12
2021-04-02      0.00      0.00    0.00    0.00    0.23    0.19    0.61    1.94
2021-04-03      0.00      0.00    0.00    0.00    0.20    0.11    0.81    1.79
2021-04-04      0.04      0.00    0.00    0.00    0.18    0.11    0.46    2.48
2021-04-05      0.00      0.00    0.00    0.00    0.22    0.18    0.52    2.15
2021-04-06      0.01      0.00    0.00    0.00    0.20    0.06    0.48    2.30
2021-04-07      0.07      0.00    0.00    0.00    0.22    0.04    0.31    2.59
2021-04-08      0.00      0.00    0.00    0.00    0.21    0.12    0.49    2.27
2021-04-09      0.00      0.00    0.00    0.00    0.24    0.14    0.81    2.14
2021-04-10      0.00      0.00    0.00    0.00    0.19    0.20    0.66    1.72
2021-04-11      0.00      0.00    0.00    0.00    0.21    0.10    0.70    2.29
2021-04-12      0.07      0.00    0.00    0.00    0.27    0.13    0.86    3.00
2021-04-13      0.16      0.00    0.00    0.00    0.30    0.34    0.98    2.13
2021-04-14      0.01      0.00    0.00    0.00    0.30    0.12    1.00    2.83
2021-04-15      0.47      0.00    0.00    0.00    0.34    0.19    1.70    2.26
2021-04-16      1.05      0.00    0.00    0.00    0.28    0.17    1.05    2.08
2021-04-17      0.14      0.00    0.00    0.00    0.33    0.27    1.35    2.28
2021-04-18      0.00      0.00    0.00    0.00    0.32    0.41    0.93    2.04
2021-04-19      0.00      0.00    0.00    0.00    0.32    0.21    1.12    3.42
2021-04-20      0.05      0.00    0.00    0.00    0.25    0.09    0.75    3.19
2021-04-21      1.05      0.00    0.00    0.00    0.26    0.31    0.71    2.30
2021-04-22      0.66      0.00    0.00    0.00    0.12    0.08    0.42    0.69
2021-04-23      0.79      0.00    0.00    0.00    0.13    0.06    0.69    0.83
2021-04-24      0.73      0.00    0.00    0.00    0.14    0.15    0.50    1.03
2021-04-25      1.09      0.00    0.00    0.00    0.12    0.06    0.32    1.37
2021-04-26      0.99      0.00    0.00    0.00    0.20    0.01    0.94    1.54
2021-04-27      0.48      0.00    0.00    0.00    0.21    0.11    0.82    1.47
2021-04-28      0.00      0.00    0.00    0.00    0.10    0.06    0.31    0.84
2021-04-29      0.04      0.00    0.00    0.00    0.15    0.10    0.55    1.60
2021-04-30      0.26      0.00    0.00    0.00    0.18    0.03    0.46    2.72
2021-05-01      0.33      0.00    0.00    0.00    0.15    0.01    0.40    2.52
2021-05-02      0.00      0.00    0.00    0.00    0.21    0.01    0.94    2.18
2021-05-03      0.00      0.00    0.00    0.00    0.16    0.02    0.64    1.83
2021-05-04      0.00      0.00    0.00    0.00    0.24    0.07    0.79    2.54
2021-05-05      0.02      0.00    0.00    0.00    0.26    0.04    0.86    2.26
2021-05-06      0.06      0.00    0.00    0.00    0.21    0.13    0.45    2.61
2021-05-07      0.02      0.00    0.00    0.00    0.14    0.03    0.77    1.11
2021-05-08      0.03      0.00    0.00    0.00    0.23    0.03    0.68    2.29
2021-05-09      0.00      0.00    0.00    0.00    0.23    0.00    0.74    2.38
2021-05-10      0.16      0.00    0.00    0.00    0.09    0.00    0.13    1.52
2021-05-11      0.00      0.00    0.00    0.00    0.14    0.08    0.55    1.20
2021-05-12      0.00      0.00    0.00    0.00    0.11    0.00    0.30    1.55
2021-05-13      0.00      0.00    0.00    0.00    0.21    0.03    0.70    2.12
2021-05-14      0.00      0.00    0.00    0.00    0.31    0.16    1.20    2.77
2021-05-15      0.00      0.00    0.00    0.00    0.31    0.11    1.31    2.65
2021-05-16      0.21      0.00    0.00    0.00    0.27    0.15    0.91    2.21
2021-05-17      0.14      0.00    0.00    0.00    0.11    0.01    0.30    1.69
2021-05-18      0.00      0.00    0.00    0.00    0.04    0.02    0.12    0.44
2021-05-19      0.00      0.00    0.00    0.00    0.08    0.00    0.31    0.87
2021-05-20      0.00      0.00    0.00    0.00    0.17    0.05    0.27    2.33
2021-05-21      0.00      0.00    0.00    0.00    0.17    0.00    0.42    2.11
2021-05-22      0.00      0.00    0.00    0.00    0.18    0.06    0.62    1.35
2021-05-23      0.00      0.00    0.00    0.00    0.15    0.03    0.22    3.30
2021-05-24      0.00      0.00    0.00    0.00    0.19    0.11    0.41    2.88
2021-05-25      0.00      0.00    0.00    0.00    0.20    0.08    0.72    1.55
2021-05-26      0.00      0.00    0.00    0.00    0.13    0.04    0.48    1.08
2021-05-27      0.00      0.00    0.00    0.00    0.10    0.00    0.34    0.93
2021-05-28      0.00      0.00    0.00    0.00    0.12    0.07    0.50    1.02
2021-05-29      0.00      0.00    0.00    0.00    0.14    0.01    0.38    1.95
2021-05-30      0.00      0.00    0.00    0.00    0.15    0.01    0.52    1.72
2021-05-31      0.00      0.00    0.00    0.00    0.18    0.03    0.45    1.80
2021-06-01      0.00      0.00    0.00    0.00    0.22    0.03    0.76    2.30
2021-06-02      0.00      0.00    0.00    0.00    0.31    0.19    0.89    2.93
2021-06-03      0.00      0.00    0.00    0.00    0.18    0.01    0.87    1.83
2021-06-04      0.00      0.00    0.00    0.00    0.12    0.00    0.39    1.21
2021-06-05      0.00      0.00    0.00    0.00    0.14    0.00    0.47    1.43
2021-06-06      0.00      0.00    0.00    0.00    0.06    0.01    0.16    0.79
2021-06-07      0.00      0.00    0.00    0.00    0.06    0.00    0.09    0.90
