id,a01,a02,a03,a04,a05,a06,a07
33,2021-10-16,2021-10-17,台北市,萬華區,0,1879,0.00
34,2021-10-16,2021-10-17,台北市,士林區,0,408,0.00
35,2021-10-16,2021-10-17,台北市,文山區,0,377,0.00
36,2021-10-16,2021-10-17,台北市,大同區,0,303,0.00
37,2021-10-16,2021-10-17,台北市,大安區,0,298,0.00
38,2021-10-16,2021-10-17,台北市,信義區,0,291,0.00
39,2021-10-16,2021-10-17,台北市,中山區,0,290,0.00
40,2021-10-16,2021-10-17,台北市,中正區,0,287,0.00
41,2021-10-16,2021-10-17,台北市,北投區,0,237,0.00
42,2021-10-16,2021-10-17,台北市,內湖區,0,181,0.00
43,2021-10-16,2021-10-17,台北市,松山區,0,180,0.00
44,2021-10-16,2021-10-17,台北市,南港區,0,137,0.00
280,2021-10-15,2021-10-16,台北市,全區,0,4868,0.00
281,2021-10-15,2021-10-16,台北市,萬華區,0,1879,0.00
282,2021-10-15,2021-10-16,台北市,士林區,0,408,0.00
283,2021-10-15,2021-10-16,台北市,文山區,0,377,0.00
284,2021-10-15,2021-10-16,台北市,大同區,0,303,0.00
285,2021-10-15,2021-10-16,台北市,大安區,0,298,0.00
286,2021-10-15,2021-10-16,台北市,信義區,0,291,0.00
287,2021-10-15,2021-10-16,台北市,中山區,0,290,0.00
288,2021-10-15,2021-10-16,台北市,中正區,0,287,0.00
289,2021-10-15,2021-10-16,台北市,北投區,0,237,0.00
290,2021-10-15,2021-10-16,台北市,內湖區,0,181,0.00
291,2021-10-15,2021-10-16,台北市,松山區,0,180,0.00
292,2021-10-15,2021-10-16,台北市,南港區,0,137,0.00
528,2021-10-14,2021-10-15,台北市,全區,0,4868,0.10
529,2021-10-14,2021-10-15,台北市,萬華區,0,1879,0.10
530,2021-10-14,2021-10-15,台北市,士林區,0,408,0.00
531,2021-10-14,2021-10-15,台北市,文山區,0,377,0.00
532,2021-10-14,2021-10-15,台北市,大同區,0,303,0.00
533,2021-10-14,2021-10-15,台北市,大安區,0,298,0.00
534,2021-10-14,2021-10-15,台北市,信義區,0,291,0.00
535,2021-10-14,2021-10-15,台北市,中山區,0,290,0.00
536,2021-10-14,2021-10-15,台北市,中正區,0,287,0.00
537,2021-10-14,2021-10-15,台北市,北投區,0,237,0.00
538,2021-10-14,2021-10-15,台北市,內湖區,0,181,0.00
539,2021-10-14,2021-10-15,台北市,松山區,0,180,0.00
540,2021-10-14,2021-10-15,台北市,南港區,0,137,0.00
776,2021-10-13,2021-10-14,台北市,全區,0,4868,0.10
777,2021-10-13,2021-10-14,台北市,萬華區,0,1879,0.10
778,2021-10-13,2021-10-14,台北市,士林區,0,408,0.00
779,2021-10-13,2021-10-14,台北市,文山區,0,377,0.00
780,2021-10-13,2021-10-14,台北市,大同區,0,303,0.00
781,2021-10-13,2021-10-14,台北市,大安區,0,298,0.00
782,2021-10-13,2021-10-14,台北市,信義區,0,291,0.00
783,2021-10-13,2021-10-14,台北市,中山區,0,290,0.00
784,2021-10-13,2021-10-14,台北市,中正區,0,287,0.00
785,2021-10-13,2021-10-14,台北市,北投區,0,237,0.00
786,2021-10-13,2021-10-14,台北市,內湖區,0,181,0.00
787,2021-10-13,2021-10-14,台北市,松山區,0,180,0.00
788,2021-10-13,2021-10-14,台北市,南港區,0,137,0.00
1024,2021-10-12,2021-10-13,台北市,全區,0,4868,0.10
1025,2021-10-12,2021-10-13,台北市,萬華區,0,1879,0.10
1026,2021-10-12,2021-10-13,台北市,士林區,0,408,0.00
1027,2021-10-12,2021-10-13,台北市,文山區,0,377,0.00
1028,2021-10-12,2021-10-13,台北市,大同區,0,303,0.00
1029,2021-10-12,2021-10-13,台北市,大安區,0,298,0.00
1030,2021-10-12,2021-10-13,台北市,信義區,0,291,0.00
1031,2021-10-12,2021-10-13,台北市,中山區,0,290,0.00
1032,2021-10-12,2021-10-13,台北市,中正區,0,287,0.00
1033,2021-10-12,2021-10-13,台北市,北投區,0,237,0.00
1034,2021-10-12,2021-10-13,台北市,內湖區,0,181,0.00
1035,2021-10-12,2021-10-13,台北市,松山區,0,180,0.00
1036,2021-10-12,2021-10-13,台北市,南港區,0,137,0.00
1272,2021-10-11,2021-10-12,台北市,全區,0,4868,0.10
1273,2021-10-11,2021-10-12,台北市,萬華區,0,1879,0.10
1274,2021-10-11,2021-10-12,台北市,士林區,0,408,0.00
1275,2021-10-11,2021-10-12,台北市,文山區,0,377,0.00
1276,2021-10-11,2021-10-12,台北市,大同區,0,303,0.00
1277,2021-10-11,2021-10-12,台北市,大安區,0,298,0.00
1278,2021-10-11,2021-10-12,台北市,信義區,0,291,0.00
1279,2021-10-11,2021-10-12,台北市,中山區,0,290,0.00
1280,2021-10-11,2021-10-12,台北市,中正區,0,287,0.00
1281,2021-10-11,2021-10-12,台北市,北投區,0,237,0.00
1282,2021-10-11,2021-10-12,台北市,內湖區,0,181,0.00
1283,2021-10-11,2021-10-12,台北市,松山區,0,180,0.00
1284,2021-10-11,2021-10-12,台北市,南港區,0,137,0.00
1520,2021-10-10,2021-10-11,台北市,全區,0,4868,0.10
1521,2021-10-10,2021-10-11,台北市,萬華區,0,1879,0.10
1522,2021-10-10,2021-10-11,台北市,士林區,0,408,0.00
1523,2021-10-10,2021-10-11,台北市,文山區,0,377,0.00
1524,2021-10-10,2021-10-11,台北市,大同區,0,303,0.00
1525,2021-10-10,2021-10-11,台北市,大安區,0,298,0.00
1526,2021-10-10,2021-10-11,台北市,信義區,0,291,0.00
1527,2021-10-10,2021-10-11,台北市,中山區,0,290,0.00
1528,2021-10-10,2021-10-11,台北市,中正區,0,287,0.00
1529,2021-10-10,2021-10-11,台北市,北投區,0,237,0.00
1530,2021-10-10,2021-10-11,台北市,內湖區,0,181,0.00
1531,2021-10-10,2021-10-11,台北市,松山區,0,180,0.00
1532,2021-10-10,2021-10-11,台北市,南港區,0,137,0.00
1768,2021-10-09,2021-10-10,台北市,全區,0,4868,0.10
1769,2021-10-09,2021-10-10,台北市,萬華區,0,1879,0.10
1770,2021-10-09,2021-10-10,台北市,士林區,0,408,0.00
1771,2021-10-09,2021-10-10,台北市,文山區,0,377,0.00
1772,2021-10-09,2021-10-10,台北市,大同區,0,303,0.00
1773,2021-10-09,2021-10-10,台北市,大安區,0,298,0.00
1774,2021-10-09,2021-10-10,台北市,信義區,0,291,0.00
1775,2021-10-09,2021-10-10,台北市,中山區,0,290,0.00
1776,2021-10-09,2021-10-10,台北市,中正區,0,287,0.00
1777,2021-10-09,2021-10-10,台北市,北投區,0,237,0.00
1778,2021-10-09,2021-10-10,台北市,內湖區,0,181,0.00
1779,2021-10-09,2021-10-10,台北市,松山區,0,180,0.00
1780,2021-10-09,2021-10-10,台北市,南港區,0,137,0.00
2016,2021-10-08,2021-10-09,台北市,全區,1,4868,0.10
2017,2021-10-08,2021-10-09,台北市,萬華區,1,1879,0.10
2018,2021-10-08,2021-10-09,台北市,士林區,0,408,0.00
2019,2021-10-08,2021-10-09,台北市,文山區,0,377,0.00
2020,2021-10-08,2021-10-09,台北市,大同區,0,303,0.00
2021,2021-10-08,2021-10-09,台北市,大安區,0,298,0.00
2022,2021-10-08,2021-10-09,台北市,信義區,0,291,0.00
2023,2021-10-08,2021-10-09,台北市,中山區,0,290,0.00
2024,2021-10-08,2021-10-09,台北市,中正區,0,287,0.00
2025,2021-10-08,2021-10-09,台北市,北投區,0,237,0.00
2026,2021-10-08,2021-10-09,台北市,內湖區,0,181,0.00
2027,2021-10-08,2021-10-09,台北市,松山區,0,180,0.00
2028,2021-10-08,2021-10-09,台北市,南港區,0,137,0.00
2264,2021-10-07,2021-10-08,台北市,全區,0,4867,0.00
2265,2021-10-07,2021-10-08,台北市,萬華區,0,1878,0.00
2266,2021-10-07,2021-10-08,台北市,士林區,0,408,0.00
2267,2021-10-07,2021-10-08,台北市,文山區,0,377,0.00
2268,2021-10-07,2021-10-08,台北市,大同區,0,303,0.00
2269,2021-10-07,2021-10-08,台北市,大安區,0,298,0.00
2270,2021-10-07,2021-10-08,台北市,信義區,0,291,0.00
2271,2021-10-07,2021-10-08,台北市,中山區,0,290,0.00
2272,2021-10-07,2021-10-08,台北市,中正區,0,287,0.00
2273,2021-10-07,2021-10-08,台北市,北投區,0,237,0.00
2274,2021-10-07,2021-10-08,台北市,內湖區,0,181,0.00
2275,2021-10-07,2021-10-08,台北市,松山區,0,180,0.00
2276,2021-10-07,2021-10-08,台北市,南港區,0,137,0.00
2512,2021-10-06,2021-10-07,台北市,全區,0,4867,0.00
2513,2021-10-06,2021-10-07,台北市,萬華區,0,1878,0.00
2514,2021-10-06,2021-10-07,台北市,士林區,0,408,0.00
2515,2021-10-06,2021-10-07,台北市,文山區,0,377,0.00
2516,2021-10-06,2021-10-07,台北市,大同區,0,303,0.00
2517,2021-10-06,2021-10-07,台北市,大安區,0,298,0.00
2518,2021-10-06,2021-10-07,台北市,信義區,0,291,0.00
2519,2021-10-06,2021-10-07,台北市,中山區,0,290,0.00
2520,2021-10-06,2021-10-07,台北市,中正區,0,287,0.00
2521,2021-10-06,2021-10-07,台北市,北投區,0,237,0.00
2522,2021-10-06,2021-10-07,台北市,內湖區,0,181,0.00
2523,2021-10-06,2021-10-07,台北市,松山區,0,180,0.00
2524,2021-10-06,2021-10-07,台北市,南港區,0,137,0.00
2760,2021-10-05,2021-10-06,台北市,全區,0,4867,0.00
2761,2021-10-05,2021-10-06,台北市,萬華區,0,1878,0.00
2762,2021-10-05,2021-10-06,台北市,士林區,0,408,0.00
2763,2021-10-05,2021-10-06,台北市,文山區,0,377,0.00
2764,2021-10-05,2021-10-06,台北市,大同區,0,303,0.00
2765,2021-10-05,2021-10-06,台北市,大安區,0,298,0.00
2766,2021-10-05,2021-10-06,台北市,信義區,0,291,0.00
2767,2021-10-05,2021-10-06,台北市,中山區,0,290,0.00
2768,2021-10-05,2021-10-06,台北市,中正區,0,287,0.00
2769,2021-10-05,2021-10-06,台北市,北投區,0,237,0.00
2770,2021-10-05,2021-10-06,台北市,內湖區,0,181,0.00
2771,2021-10-05,2021-10-06,台北市,松山區,0,180,0.00
2772,2021-10-05,2021-10-06,台北市,南港區,0,137,0.00
3008,2021-10-04,2021-10-05,台北市,全區,0,4867,0.00
3009,2021-10-04,2021-10-05,台北市,萬華區,0,1878,0.00
3010,2021-10-04,2021-10-05,台北市,士林區,0,408,0.00
3011,2021-10-04,2021-10-05,台北市,文山區,0,377,0.00
3012,2021-10-04,2021-10-05,台北市,大同區,0,303,0.00
3013,2021-10-04,2021-10-05,台北市,大安區,0,298,0.00
